,ID_text
0,ngilu anjing
1,anjing ericko lim ngomong baik aduh aku percaya like komentar jika kalian tau lagu
2,bang jangan kalah sama benci benci tu cuma bocah bocah tidak mampu sesukseskamumangat bang semangat
3,aku ngertikamusibuk ngurusin youtube tapikamucoba buat video buat ngehibur gemar erick thx
4,aku selalu hibur tiap nonton channel kuankamuanjin udah lebih autis kalau misal aku punya kakak kayakamumending bunuh diri aku erick sumpah saya tetep dukungkamuko erick terus kembang erick konten sampahkamuyaa semangat ericontollll
5,suka banget ama orang ini
6,aaaaaaaaaaaa tampan
7,aaaaaaaaaaaaaaaaaa tampan banget cantik
8,abai benci bang
9,abai benci bang just keep doing what you think is good and entertain us moga cepet juta subscriber bang
10,abai benci sukses terus buat channel semangat
11,abang tu bijak buat hatres jangan comen njing
12,abang is the bast
13,abang teladan quh
14,abay boljug orang birah channelnya blackpink
15,abcdefghijklmnopqrstuvwxyz meter otong
16,abg itu bukan kaleng kaleng hehe
17,selesai konten anjing
18,absurdkamubro
19,achmad nuryadin buat bocah pb mah
20,ad bgus chanel kamu bngsat plagiat reza arap reza arap ad bagus sosial bgus kamu apa bngsat chanel friendly dimna anjing dimna ad mnghbur bngsaat
21,yg nguruai hidup org urusin hidup kamu masing saja benar apa kagak
22,apa ramai eriko lim kau tampan mirip kotor stengah anjing
23,fitur tarik knp org org kgk digunain coba kontol kalau mau cari have fun mah cenel recommended
24,gold play button
25,iklan tak saya skip anti skip skip iklan club sukses terus ericko lim
26,manusia dosa yg hate lebih baik
27,teladan
28,presiden dewa
29,presiden qori
30,qore wokwokwokow
31,qorygore
32,qorygore di youtube rewind
33,son of zeus
34,tulis subscribe bang tulis disubcribe
35,woy benci beri uang milik channel dengan dibikinin konten lumayan nama benci baik broo u
36,yang buat ericko lim ngomong onichan menit wkwk
37,yang download videodi youjizz bz kalau komentar
38,yang ngiri viewer yotobe turun
39,yang nunggu yt rewind v
40,yg nyuruh kamu nonton ajg kalau emang didik gausah nonton dasar benci goblok erick obat buat ngilangin stres tertawa liat muka konyol si erick
41,yg tau kabar lord randog
42,adaa iklannn menit skip kamu
43,adik gwe baru lahir kemarin langsung gwe tontonin vidiokamubang
44,aditya chandra serah dah yg penting aku udah nyampein sen aku
45,aditya hercules usah gas
46,adolf hitler ma lord
47,adolf hitler my fuhrer
48,adsense for life
49,adsense naikk
50,adsense ny banyak haha
51,adsense sangat mantap
52,aduhkamumembuat micin tlol pikir banyak bocah yg nonton tolol gin dahkamubatesin usia chennelkamubiar bocah pd pengaruh
53,aduh udah tertawa dluan anjing sama intro jess awpokwaeopkawepokawepokwapok
54,aduhh gvlx gvlxxx
55,aduuh telat ngesubscribe nihh mas subscribe ni
56,aduuuhhh tertawa parah aku
57,ady putra ributkamuasu
58,afriz studios kontrol bukan kontol
59,age restricted lah goblok
60,ah aku ngehate ah biar masuk youtube
61,ah bangsatkamuanjing hahaha tertawa iklan qory gore lagih hahahahaha aku suka gaya lo
62,ah banyak iklan kontol
63,ah dasar kontol kontol kontol kontol sama kamu semua kentot kentot kentot sama kamu semua
64,ah dasar makan jembut uya kuya atta halilintar
65,ah gila vagina ngilu wkwkwk
66,ah goblokkamubangsat cuman tau toxic bodoh coba tobat
67,ah kontol dasar anak lonte
68,ah kontol gabakal masuk surga kamu ajg bangsat
69,ahkamuganteng rick
70,ah monyet ericko lim ajg muka produk lokal pesawat roket bencong toket muka luh kntlll jelek
71,ah ngentodkamurik
72,ah pernah makan upil cok
73,ahaaa bo ong
74,ahaha benci maha benarrrr erickolim auto kayaaang aku yakin deh
75,ahahaha bang aku nungguin konten anjing bukan game salam gemar
76,ahahahah benci kamu nonton video ericko lim siapa lebih untung wahahah makin banyak benci makin banyak viewers iya
77,ahahahaha vagina ngilu tertawa
78,ahahhaha triger si anjing wwkwk
79,ahh channelnya family friendly sudah sensor
80,ahh jadi disslike pertama lahh
81,ahh aku benci elu deh biar elu lebih semangat iklan clubwk
82,ahh jancuk mana lope lope kontol
83,ahh kontol benci tiap ericko ngeuploadkamunonton kan anjing
84,ahh ku suka intro
85,ahhh benci kontol
86,ahhhh baumemek
87,ahhhhhh ahhhh aku ngecrot bang ngeliat kamu melet tanggung jawab
88,ahmad hambali kontol
89,ahmad nuh bocah dikatain lgsung bales wkakakkaka
90,ai pus asil duit wkwkwkwkw
91,aihh sedih tukang numpang promosi tolol bego g bangsat
92,ajajajajaj katain kontol
93,ajg gaje kontol
94,ajg kata kalau juta subscribekamupengen botak ajg boong mulukamukontol
95,akal sehat awak udah hilang kahh
96,akhir anjingbikin video macem gin lgi yg kmrn boring kontol
97,akhir pideo manjadi sad erickolim curhat
98,akhir intro erick kontol no limit pros is backkkkk
99,akhir sekian lama intro aku tonton habis tolol terus tombol aku abu yak ad tombol merah
