,stemmed,sentiment
0,benci bacot masih nonton,-1
1,mantap kontol,-1
2,setan,-1
3,tai,-1
4,titit,-1
5,peduli haters buat lagu,1
6,jangan sok tampan lah mukalu sampah an jnk,-1
7,semangat terus bang buat konten baca hate komentar edit mudah unggah mudah,1
8,true,1
9,a cuma asa aku kalau edit si eric niru pewdiepie kalau iya brrti si eric kurang kreatif,1
10,a en je a ye,1
11,aa sayang,1
12,aaaaaa part yoyo mamennn,1
13,aaaaaaaaaaa part yoyo mamennn,1
14,aaaaaaasiaap,1
15,abai benci benci kampang macam begini bang,-1
16,abang erick biar banyak benci maen game saja biar neng setan setan para benci,-1
17,abang erick pacar sama kim jawab bang from fans,1
18,abdur rakhman anjay,1
19,selesai bakal banyak komentar toxic biar si erick baca komenya terus buat ginian dan komentar masuk,1
20,selesai tari lelah lu,1
21,selesai youtube kata,1
22,absen erick lu,1
23,ad r,1
24,bang qorygore,1
25,fans base bro,1
26,foto gabung dyland sama warpathk sama gemar nonton semua videokamutanpa skip sekalipun iklan,1
27,hate comment aku yg pernah kamu baca ama kamu jawab rick ig sering aku tanyain via comment ama via dm,1
28,benci kit kat,1
29,benci auto sepi dunia bang,1
30,benci situ hadir kaya benci subscribe,1
31,iklan aku pernah aku skip,1
32,jembut,-1
33,jumpscare,1
34,notif langsung ntn,1
35,yg tau backsound ericko judul apa,1
36,ada disubscribe erick,1
37,adsense adsense adsense bodoh video kualitas penting adsenseeeeeeee,1
38,adug tertawa asli dah emnk padahal sini cuma butuh hiburrannya doank haters mah biasa biar kenal lewat channel,1
39,aduh tepok jidat,1
40,ahahahahha ahahahahha ahahahahahahahhahaahhahahahahahahahahahahhaahhahahahahhahahaahhahaahahhaahhaahhaahahahahhahahahahahahahahhawhahahahhah ahahahahahahhaahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahaha ahahahahahahahhahahahahhahahahahahahahahahahahahahhahahahahahahahahhahahahhhahahhahahahaahahahahhahahhahahahahahahahahahahaahahahahahahhaahhahahahahahahahahahahahahhahahahahahahahahahahhahahhahahahahhahahhahahhhahahahahahahahahhahahahahahahhhahahahahahahahahahahahahahahahahahahahahahahahahahahahhahahahahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahhahahahahahhahahahaahahahhaahhaahhahahhahaahhhahahahahahahahhahhahahahahahahahahahahahahahahahahhahahahahhahahahhhahahahahahahahahahahahhahahhahahahhahahahahahahahahahahahahaahha,1
41,ahhahahaah,1
42,ahkirnya intro erickonolimitpros usa lihat,1
43,ahkirnya intro,1
44,aink zeeber mhank pantad ainx lapisin baja ea anti triggred,1
45,kamu bang nyimpen intro intro lama,1
46,ajak berantemmangat coli,1
47,ajak ketemu arap dong lim injek injek pala selesai jadiin konten haha makin kaya kamu,1
48,ajakin ai tompel erick bacot warbyasah,-1
49,ajarankamujuga erick,1
50,ajarin cara bait and jelasin xd bair orang orang makan bait,1
51,ajarin toxic rick,1
52,ajg fans yg tunda apa ajg najis,-1
53,ajg koment apa aswww,1
54,ajg tertawa awal receh guaaaaa astaga,1
55,ajg gwe dah lama liat erick teriak teriak kaya detik anjir aowkwowkw,-1
56,ajg kocak sumpah erik,1
57,ajg ngakakak erikolim,1
58,ajg opening eno benningg,1
59,ajg tertawa,1
60,ajg tu kepala besar banyak peju diotaq,1
61,ajg,1
62,ajglah bcksoundnya doang yg kenceng suara kamu kedengeran,1
63,ajglah bcksoundnya doang yg kenceng suarakamugk kedengeran,1
64,akew kece iy,1
65,akhir erickolim no limit pros,1
66,akhir intro ericko no limit pros dipake,1
67,akhir keluar intro,1
68,akhir kenal kaya bowo,1
69,akhir farrah ni videocuma dikit,1
70,akhir taun juta malah mentok juta,1
71,akhir video faedah,1
72,akhirny,1
73,akhir ericko lim buat q a v,1
74,akhir bisa dislike di channel ya benar sih tapi,-1
75,akhir intro ericko no limit pros lagiam hati,1
76,akhir intro yg aku tunggu,-1
77,akhir intro balik,1
78,akhir intro legend kembali,1
79,akhir intro legend keluar,1
80,akhir intro legend,1
81,akhir intro legendnya erickolim balik vu ngak lengkap manusia,1
82,akhir intro legends ada lagigkamugerebek rumah pamela,1
83,akhir intro legendz,1
84,akhir intro di tunggu tunggu,-1
85,akhir intro lagi,1
86,akhir intro balik haha,1
87,akhir intro muncul,1
88,akhir intro,1
89,akhir komentar aku masuk youtube erickolim hahahaha,1
90,akhirnyakamutoxic sekian lama tungggu yesssssss,1
91,akhir opening xd,1
92,akhir opening jess is back,1
93,akhir opening legend hadir,1
94,akhir opening lupa come back,1
95,akhir opening yg sangat aku tunggu,-1
96,akhir pake intro lagi,1
97,akhir pake intro lama,1
98,akhir pake intro legend ea,1
99,akhir pke intro lagi,1
100,akhir rindu ku balas,1
101,akmj,1
102,akoskwkaowkwlwoa benci sumber duit,1
103,aku subscribe pertama kali gift sultan macam apa niih,1
104,aku always support kamu bang,1
105,aku bangga sama kamu bang,1
106,aku bocah bang,1
107,aku tidak benci,1
108,aku cuma ketawa njir nice buat erickolim,1
109,aku cuma mo ngomong,1
110,aku cuman kasih tau kak erick,1
111,aku malaysia bang rick aku saport kamu bang benci kagak paham cenel loo bang,1
112,aku dislike ah,1
113,aku doain moga kamu dapet juta subscribe minggu kemudian turun amin,1
114,aku dukung bang,1
115,aku dukung bang erick,1
116,aku dukung channel kamu erick,1
117,aku dukung erick,1
118,aku dukung erick aku bocah tahun ngebuly erick ngaca dulu,1
119,aku dukung erik,1
120,aku dukung kamu bang erik semangat bang kalau jangan banyak toxic bocah bocah niru toxic kamu bang,1
121,aku dukung kamu bang sat,1
122,aku dukung kamu bg,1
123,aku dukung kamu bang sans ajh ngadepin benci stres,1
124,aku dukung kamu rick kamu punya cara yg cukup unik aku ekspres mantab d,1
125,aku dukung kamu rick,1
126,aku dukung kamu rick walaupun banyak benci aku dukung,1
127,aku dukung kamu terus bang,1
128,aku dukung,1
129,aku fans berat eriko lim arap mah kw,1
130,aku fans dead pool,1
131,aku fans eriko lim ka cba buat videoyg banyak biar liat vdeo kakak,1
132,aku haters eric,1
133,aku haters yg komentar terus tiap video baca video,1
134,aku heartes bukan benci,1
