,Stemmed_Comments,Fixed_Comments
0,rick kamu anak hasil kondom bocor,rick kamu anak hasil kondom bocor
1,kakak sok pede,kakak sok pede
2,keren bang slow aku subscribe kontol eenak,keren bang slow aku subscribe alat kelamin pria eenak
3,apa tangan mu tato,apa tangan mu tato
4,muka kamu anjing aku rugi nonton youtube kamu anjing,muka kamu hewan ternak aku rugi nonton youtube kamu hewan ternak
5,aku suka gaya kamu anjing haha hibur bedd wkwkwkw kontol ahaha,aku suka gaya kamu hewan ternak haha hibur bedd wkwkwkw alat kelamin pria ahaha
6,mantapp bang erickkkkkaha hibur bedd wkwkwkw kontol ahaha,mantapp bang erickkkkkaha hibur bedd wkwkwkw alat kelamin pria ahaha
7,buat haters kamu semua gosah sok sok ngerti video erickolim kalau suka ngapain tonton mudah anjinkkkkkk eriko maksa nonton video kalau suka alhamdulilah kalau suka yaudah tidak apa apa eriko tidak maksa njinkkkkk,buat haters kamu semua gosah sok sok ngerti video erickolim kalau suka ngapain tonton mudah anjinkkkkkk eriko maksa nonton video kalau suka alhamdulilah kalau suka yaudah tidak apa apa eriko tidak maksa njinkkkkk
8,subscribe cuma segitu doang kalah am atta,subscribe cuma segitu doang kalah am atta
9,eriko memek asu anjing cuiiihhh babi kontol kamu kecil,eriko alat kelamin wanita asu hewan ternak cuiiihhh hewan ternak alat kelamin pria kamu kecil
10,bang collab ma bang leokoce,bang collab ma bang leokoce
11,aku tertawa nonton ericko lim walaupun toxic mantap dah rik,aku tertawa nonton ericko lim walaupun toxic mantap dah rik
12,hahaahaha haters kontol bng ricko lim,hahaahaha haters alat kelamin pria bng ricko lim
13,,nan
14,haters konten,haters konten
15,sok iya banget kamu anjeng kamu bikin vidio ada faedah yg pantes ditonto bahasa kamu babi sesal kali emak kamu lahirin kamu memek harus silit kamu goblok,sok iya banget kamu anjeng kamu bikin vidio ada faedah yg pantes ditonto bahasa kamu hewan ternak sesal kali emak kamu lahirin kamu alat kelamin wanita harus pantat kamu tidak pengertian
16,babi banget yakan ni vidio pntg sekali goblok kamu buka sifat asli kamu apa yakan org yg subscribe kamu iseng subscribe terus keluar babi goblok banget mnding ngaca aja muka kamu kontol anjin,hewan ternak banget yakan ni vidio pntg sekali tidak pengertian kamu buka sifat asli kamu apa yakan org yg subscribe kamu iseng subscribe terus keluar hewan ternak tidak pengertian banget mnding ngaca aja muka kamu alat kelamin pria anjin
17,gua suka banget sma konten luu bang,gua suka banget sma konten luu bang
18,hahahahah,hahahahah
19,bang bikin vidio balas komentar haters biar haters benci anjing ka kagak terus terus engbacot poko bang iric semangat aku tau kenal bukan suatu mudah gampang butuh proses uji hates pokok tetap semangat bang eric jadi youtuber yang lebih sukses bisa lawan haters haters anjing,bang bikin vidio balas komentar haters biar haters benci hewan ternak ka kagak terus terus engbacot poko bang iric semangat aku tau kenal bukan suatu mudah gampang butuh proses uji hates pokok tetap semangat bang eric jadi youtuber yang lebih sukses bisa lawan haters haters hewan ternak
20,baku hantam mulai,baku hantam mulai
21,erick lim sma kim hime aku fans karena serasi kalau pacarang,erick lim sma kim hime aku fans karena serasi kalau pacarang
22,jangan hina erick aku fans jangan katakatai erick,jangan rendah erick aku fans jangan katakatai erick
23,hmm ahh bau memek,hmm ahh bau alat kelamin wanita
24,betul bang lanjutin aja karya luu bangtakatai erick,betul bang lanjutin aja karya luu bangtakatai erick
25,kamu baca sabar ngomong kotor mulu benci tidak usah baca komennya,kamu baca sabar ngomong kotor mulu benci tidak usah baca komennya
26,i love you,i love you
27,aku heartes bukan haters,aku heartes bukan haters
28,auto subscribe kamu i like itmong kotor mulu benci tidak usah baca komennya,auto subscribe kamu i like itmong kotor mulu benci tidak usah baca komennya
29,bilang sama orang mukak orang seperti jembut kucing,bilang sama orang mukak orang seperti rambut kemaluan kucing
30,pecah kepala otak orang bg,pecah kepala otak orang bg
31,gua suka sama lho bangng bg,gua suka sama lho bangng bg
32,slow rick aku di pihak kamu eak,slow rick aku di pihak kamu eak
33,gausa diladenin bang rick haters tu smakin kamu banyak haters kamu smakin naik bro,gausa diladenin bang rick haters tu smakin kamu banyak haters kamu smakin naik bro
34,sabar rick,sabar rick
35,anti pantad typyd si erick mah,anti pantad typyd si erick mah
36,panutan ku,panutan ku
37,semangat k walaupun dibully terus,semangat k walaupun dibully terus
38,tertawa ajg wkwk banyak haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik,tertawa ajg wkwk banyak haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik
39,semangat terus bangg k haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik,semangat terus bangg k haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik
40,ganteng bangggg k haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik,ganteng bangggg k haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik
41,hhhmmm bau memek,hhhmmm bau alat kelamin wanita
42,penting karya ngehibur harus tenar goblok haters memang raja apa comment intro emang kamu ngbuat channel ampe subscribe gede bang eric,penting karya ngehibur harus tenar tidak pengertian haters memang raja apa comment intro emang kamu ngbuat channel ampe subscribe gede bang eric
43,dear haters inget boyy ericko lim kamu bakal dewasa,dear haters inget boyy ericko lim kamu bakal dewasa
44,tertawa kontol wkwkwkanpa ericko lim kamu bakal dewasa,tertawa alat kelamin pria wkwkwkanpa ericko lim kamu bakal dewasa
45,slb apa,slb apa
46,hahaha dnger para benci tolol,hahaha dnger para benci tidak pengertian
47,gua suka gaya kamu nanggepin haters rick,gua suka gaya kamu nanggepin haters rick
48,ericko lim is the bestin haters rick,ericko lim is the bestin haters rick
49,haters kontol,haters alat kelamin pria
