,stemmed,sentiment,labeling
0,benci bacot nonton,-1,kasar
1,mantap kontol,-1,kasar
2,setan,-1,kasar
3,tai,-1,kasar
4,titit,-1,kasar
5,peduli haters lagu,1,tidak kasar
6,sok tampan mukalu sampah an jnk,-1,kasar
7,semangat bang konten baca hate komentar edit mudah unggah mudah,1,tidak kasar
8,true,1,tidak kasar
9,a asa edit si eric niru pewdiepie iya brrti si eric kreatif,1,tidak kasar
10,a en je a ye,1,tidak kasar
11,aa sayang,1,tidak kasar
12,aaaaaa part yoyo mamennn,1,tidak kasar
13,aaaaaaaaaaa part yoyo mamennn,1,tidak kasar
14,aaaaaaasiaap,1,tidak kasar
15,abai benci benci kampang bang,-1,kasar
16,abang erick biar benci maen game biar neng setan setan benci,-1,kasar
17,abang erick pacar kim bang from fans,1,tidak kasar
18,abdur rakhman anjay,1,tidak kasar
19,selesai komentar toxic biar si erick baca komenya ginian komentar masuk,1,tidak kasar
20,selesai tari lelah lu,1,tidak kasar
21,selesai youtube,1,tidak kasar
22,absen erick lu,1,tidak kasar
23,ad r,1,tidak kasar
24,bang qorygore,1,tidak kasar
25,fans base bro,1,tidak kasar
26,foto gabung dyland warpathk gemar nonton videokamutanpa skip iklan,1,tidak kasar
27,hate comment yg baca ama rick ig tanyain via comment ama via dm,1,tidak kasar
28,benci kit kat,1,tidak kasar
29,benci auto sepi dunia bang,1,tidak kasar
30,benci situ hadir kaya benci subscribe,1,tidak kasar
31,iklan skip,1,tidak kasar
32,jembut,-1,kasar
33,jumpscare,1,tidak kasar
34,notif langsung ntn,1,tidak kasar
35,yg tau backsound ericko judul,1,tidak kasar
36,disubscribe erick,1,tidak kasar
37,adsense adsense adsense bodoh video kualitas adsenseeeeeeee,1,kasar
38,adug tertawa asli dah emnk butuh hiburrannya doank haters mah biar kenal channel,1,tidak kasar
39,aduh tepok jidat,1,tidak kasar
40,ahahahahha ahahahahha ahahahahahahahhahaahhahahahahahahahahahahhaahhahahahahhahahaahhahaahahhaahhaahhaahahahahhahahahahahahahahhawhahahahhah ahahahahahahhaahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahaha ahahahahahahahhahahahahhahahahahahahahahahahahahahhahahahahahahahahhahahahhhahahhahahahaahahahahhahahhahahahahahahahahahahaahahahahahahhaahhahahahahahahahahahahahahhahahahahahahahahahahhahahhahahahahhahahhahahhhahahahahahahahahhahahahahahahhhahahahahahahahahahahahahahahahahahahahahahahahahahahahhahahahahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahhahahahahahhahahahaahahahhaahhaahhahahhahaahhhahahahahahahahhahhahahahahahahahahahahahahahahahahhahahahahhahahahhhahahahahahahahahahahahhahahhahahahhahahahahahahahahahahahahaahha,1,tidak kasar
41,ahhahahaah,1,tidak kasar
42,ahkirnya intro erickonolimitpros usa lihat,1,tidak kasar
43,ahkirnya intro,1,tidak kasar
44,aink zeeber mhank pantad ainx lapisin baja ea anti triggred,1,tidak kasar
45,bang nyimpen intro intro,1,tidak kasar
46,ajak berantemmangat coli,1,tidak kasar
47,ajak ketemu arap lim injek injek pala selesai jadiin konten haha kaya,1,tidak kasar
48,ajakin ai tompel erick bacot warbyasah,-1,kasar
49,ajarankamujuga erick,1,tidak kasar
50,ajarin bait and jelasin xd bair orang orang makan bait,1,tidak kasar
51,ajarin toxic rick,1,tidak kasar
52,ajg fans yg tunda ajg najis,-1,kasar
53,ajg koment aswww,1,tidak kasar
54,ajg tertawa receh guaaaaa astaga,1,tidak kasar
55,ajg gwe dah liat erick teriak teriak kaya detik anjir aowkwowkw,-1,kasar
56,ajg kocak sumpah erik,1,tidak kasar
57,ajg ngakakak erikolim,1,tidak kasar
58,ajg opening eno benningg,1,tidak kasar
59,ajg tertawa,1,tidak kasar
60,ajg tu kepala peju diotaq,1,tidak kasar
61,ajg,1,tidak kasar
62,ajglah bcksoundnya doang yg kenceng suara kedengeran,1,tidak kasar
63,ajglah bcksoundnya doang yg kenceng suarakamugk kedengeran,1,tidak kasar
64,akew kece iy,1,tidak kasar
65,erickolim no limit pros,1,tidak kasar
66,intro ericko no limit pros dipake,1,tidak kasar
67,intro,1,tidak kasar
68,kenal kaya bowo,1,tidak kasar
69,farrah ni videocuma dikit,1,tidak kasar
70,taun juta mentok juta,1,tidak kasar
71,video faedah,1,tidak kasar
72,akhirny,1,tidak kasar
73,ericko lim q a v,1,tidak kasar
74,dislike channel ya sih,-1,tidak kasar
75,intro ericko no limit pros lagiam hati,1,tidak kasar
76,intro yg tunggu,-1,kasar
77,intro,1,tidak kasar
78,intro legend,1,tidak kasar
79,intro legend,1,tidak kasar
80,intro legend,1,tidak kasar
81,intro legendnya erickolim vu ngak lengkap manusia,1,tidak kasar
82,intro legends lagigkamugerebek rumah pamela,1,tidak kasar
83,intro legendz,1,tidak kasar
84,intro tunggu tunggu,-1,kasar
85,intro,1,tidak kasar
86,intro haha,1,tidak kasar
87,intro muncul,1,tidak kasar
88,intro,1,tidak kasar
89,komentar masuk youtube erickolim hahahaha,1,tidak kasar
90,akhirnyakamutoxic sekian tungggu yesssssss,1,tidak kasar
91,opening xd,1,tidak kasar
92,opening jess is back,1,tidak kasar
93,opening legend hadir,1,tidak kasar
94,opening lupa come back,1,tidak kasar
95,opening yg tunggu,-1,kasar
96,pake intro,1,tidak kasar
97,pake intro,1,tidak kasar
98,pake intro legend ea,1,tidak kasar
99,pke intro,1,tidak kasar
100,rindu ku balas,1,tidak kasar
101,akmj,1,tidak kasar
102,akoskwkaowkwlwoa benci sumber duit,1,tidak kasar
103,subscribe kali gift sultan niih,1,tidak kasar
104,always support bang,1,tidak kasar
105,bangga bang,1,tidak kasar
106,bocah bang,1,tidak kasar
107,benci,1,tidak kasar
108,ketawa njir nice erickolim,1,tidak kasar
109,mo ngomong,1,tidak kasar
110,cuman kasih tau kak erick,1,tidak kasar
111,malaysia bang rick saport bang benci kagak paham cenel loo bang,1,tidak kasar
112,dislike ah,1,tidak kasar
113,doain moga dapet juta subscribe minggu turun amin,1,tidak kasar
114,dukung bang,1,tidak kasar
115,dukung bang erick,1,tidak kasar
116,dukung channel erick,1,tidak kasar
117,dukung erick,1,tidak kasar
118,dukung erick bocah ngebuly erick ngaca,1,tidak kasar
119,dukung erik,1,tidak kasar
120,dukung bang erik semangat bang toxic bocah bocah niru toxic bang,1,tidak kasar
121,dukung bang sat,1,tidak kasar
122,dukung bg,1,tidak kasar
123,dukung bang sans ajh ngadepin benci stres,1,tidak kasar
124,dukung rick yg unik ekspres mantab d,1,tidak kasar
125,dukung rick,1,tidak kasar
126,dukung rick benci dukung,1,tidak kasar
127,dukung bang,1,tidak kasar
128,dukung,1,tidak kasar
129,fans berat eriko lim arap mah kw,1,tidak kasar
130,fans dead pool,1,tidak kasar
131,fans eriko lim ka cba videoyg biar liat vdeo kakak,1,tidak kasar
132,haters eric,1,tidak kasar
133,haters yg komentar video baca video,1,tidak kasar
134,heartes benci,1,tidak kasar
135,islam slma g trsinggung bg erick yg bilang ericko lim g pantes ngomong gitu g pantes idup jls ngomongnya bg erick gitu gestur ny dasar fans tunda,1,tidak kasar
136,sakid selesai nonton video,1,tidak kasar
137,jonton channel ketawa wkwkwkwk hibur ads negatif dikit,1,tidak kasar
138,orng yg bilang konten pikir erik bilang tonton gampang,1,tidak kasar
139,hirau hatersnya ttp karya biar subscribe,1,tidak kasar
140,kangen filty rick,1,tidak kasar
141,kangen intro erick yg pake good,1,tidak kasar
142,ken soaper bang ken gemar,1,tidak kasar
143,ken gemar bang ken gemar bang,1,tidak kasar
144,hatres,1,tidak kasar
145,komentar,1,tidak kasar
146,mah suport ama bang motivasi,1,tidak kasar
147,komentar hate,1,tidak kasar
148,tau pokok colab bg qory,1,tidak kasar
149,ngakakakak ulang,1,tidak kasar
150,ngikutin konten konten hilang stres tysm,1,tidak kasar
151,ngkak nonton gnian wkwkwk,1,tidak kasar
152,nntn iklan menit skip,1,tidak kasar
153,nnton smbil makan wktu muncrat nasi urik,1,tidak kasar
154,nonton fak,1,tidak kasar
155,nonton iklan bola,1,tidak kasar
156,nonton,1,tidak kasar
157,nonton penasaran taikkk wkwkw,1,tidak kasar
158,nonton video nonton komenya,1,tidak kasar
159,nonton yotub lucu gitu,1,tidak kasar
160,nontonin ericko ken tau tipe tipe manusia aneh cipta tuhan liat salah mata yaaa manusia pilih hidup masuk benci tuhan ciptain manusia tipe hape pc alat gunain speknya asek kali sungai got garing idup tjoy wasalal,-1,kasar
161,nyariin tombol subscriber nemu wkwk,1,tidak kasar
162,ken komentar hate biar dibacain dijadiin part erik,1,tidak kasar
163,percaya salah contoh internet personality,1,tidak kasar
164,pikir subscribers bilang gitu cuman komentar ketemu langsung poto,1,tidak kasar
165,pribadi toxic elu fine fine elu konten upnormal,1,tidak kasar
166,pribadi otak pilih buruk,1,tidak kasar
167,salut erick ambil postifnya yg contoh benci henti karya ericko lim,1,tidak kasar
168,setia like videoluh bang tau kontent luh faedah tau luh butuh duit bang makan luh fakir like subscribe,1,tidak kasar
169,bang,1,tidak kasar
170,semenjak nonton erickontoru jujur hidup ubah parah jd toxic karuan temen sekolah kadang iseng teriak jalan temen tetep fun fun omong hitam percaya ku suci,1,tidak kasar
171,senang nonton pideo anggap sakit bg akakakakakakaka jdi ngomong bner ketawa akakak,1,tidak kasar
172,nonton video subscribe nonton pas video branda vvvv,1,tidak kasar
173,skip iklan biar kaya kasi,1,tidak kasar
174,soapking jateng,1,tidak kasar
175,soapperzzzz,1,tidak kasar
176,sopport bang sukses,1,tidak kasar
177,subscribe ngebully erick hehehe gpp like,1,tidak kasar
178,subscribe chanel x bang,1,tidak kasar
179,subscribe kocak sayang bahasa kasar takut anak orok salah cerna,1,tidak kasar
180,subscribe sikap kaya orgil bang wkwkw,1,tidak kasar
181,subscribe subscriber sampe like ericko lim,-1,tidak kasar
182,subscribe video ketawa,1,tidak kasar
183,subscribe permanen bang channel didik hehehe,1,tidak kasar
184,subscribe x bang paidahnya jg ni chenel ujung video anjyaaayyy,1,tidak kasar
185,suka eriko tonton goblook n channel tolol,-1,kasar
186,suka gaya anjing manusia jaman now peduliin benci jink,1,kasar
187,suka erick kontol,-1,kasar
188,suport bang tu inspirasi hidup bang dlu subscribe,1,tidak kasar
189,support,1,tidak kasar
190,support rick,1,tidak kasar
191,support erick,1,tidak kasar
192,tantang colab rando berani,1,tidak kasar
193,tau kenal ngeledek lagu manusia saudara bro,1,tidak kasar
194,tekan tombol subscribe kali bang,1,tidak kasar
195,telusur nyata komposisi komentar video erick,1,tidak kasar
196,tetep dukung ther dengerin omngan yg enakin tau video sifat smbng petakilan bgtu gatau hati kaya gmna no komentar bang,1,tidak kasar
197,tetep gemar wkwkwkwkkw,1,tidak kasar
198,tetep suport channel donasi donasi sombong ngakuin youtubers indonesia,1,tidak kasar
199,tetep tonton bang lawa garing wkwkwkwk,1,tidak kasar
200,toxic wkwk toxic au cuman ama emak doang toxic wkwk,1,tidak kasar
201,ttp dukung u bang erick,1,tidak kasar
202,tujuh ama bang erico,1,tidak kasar
203,tujuh bg ericko lim,1,tidak kasar
204,tujuh bang,1,tidak kasar
205,udah unsub,1,tidak kasar
206,ulang ulang anjay,1,tidak kasar
207,vans,1,tidak kasar
208,viwerlu bang i love you,1,tidak kasar
209,bilang channel mutu didik nonton,1,tidak kasar
210,akua tampan,1,tidak kasar
211,akun fake asu,1,tidak kasar
212,akwkwk intro kentot,1,tidak kasar
213,akwoakwoakaoakakk terbaikkk bangsattttt tertawa,1,tidak kasar
214,alah haters akmj tau sifat asli erickolim channel si daylen bang erickolim toxic subscriber alias konten adsens percaya liat channel saints daylen,1,tidak kasar
215,alah benci,1,tidak kasar
216,alahk jancok,1,tidak kasar
217,alas nonton ni channel cuman,1,tidak kasar
218,alay,-1,kasar
219,albar turnama tm gelud benci miskin kotor,-1,kasar
220,alhamdulillah intro wkwk,1,tidak kasar
221,alhasil yg ngebullykamut e r d y a m,1,tidak kasar
222,allah dajjal,1,tidak kasar
223,alphiandi yak wkwkw,1,tidak kasar
224,always absen bg eric,1,tidak kasar
225,always sad,1,tidak kasar
226,always gemar,1,tidak kasar
227,alwi israkamublm tau sejarah erick,1,tidak kasar
228,alya toxic kentot,1,tidak kasar
229,alya toxic omong kasar,1,tidak kasar
230,aman antum manfaat hibur maksain youtuber,1,tidak kasar
231,aman mhank,1,tidak kasar
232,ambil hikmah goblok,-1,kasar
233,ambil hikmah stiap orang tujuh isi vidionya orang trtentu yg erti,1,tidak kasar
234,ambil lucu,1,tidak kasar
235,ambil buang buruk yah sih manusia akal pikir buruk contoh bego orang content creatornya bangsaaat kasi emakkamungentot malem keringetan sampe lecet orang otak bedain sma salah,-1,kasar
236,ambil yg abai yg buruk cuk yg hepyyy kwkekw,1,tidak kasar
237,amin,1,tidak kasar
238,ammin,1,tidak kasar
239,an dika by the way poto,1,tidak kasar
240,anak haram,1,tidak kasar
241,anak haram orang,1,tidak kasar
242,anak hasil ngelonte orang,1,tidak kasar
243,anak jahannam,1,tidak kasar
244,anak doang ni,1,tidak kasar
245,anak kentot ah,1,tidak kasar
246,anak muda nerima erik nerima arti muda,1,tidak kasar
247,anak pinter yg uda tau isi konten faedah ttep tonton ngomen asa,-1,tidak kasar
248,anak sule,1,tidak kasar
249,anak yg dibwh th kasih hp ajg umur segitu sekolah dlu yg,1,tidak kasar
250,anan masyarakat menghiburrr wkwkkw,1,tidak kasar
251,anang burhan erick kuat bawa qorygore,1,tidak kasar
252,vagina buka google bangsat pake vpn bangsat sorry ngegas erickolim account bangsat hiya hiya hiya,-1,kasar
253,orang jawa ajar lestari budaya jawa,1,tidak kasar
254,andi fajar katakamucari subciriber murah nyuru nyuruh orang hapus chanel,1,tidak kasar
255,ane dukung ric,1,tidak kasar
256,ane lapar bang,1,tidak kasar
257,ane netral,1,tidak kasar
258,anggap ajah benci jemboeut muncul,1,tidak kasar
259,anggep bencong toket,-1,kasar
260,anggita rumah mu ketemu a cok,1,tidak kasar
261,anime campur bagikamubagi orang hah,1,tidak kasar
262,anime campur kalok ngomong pikir mas langsung nyerobot jalan raya wkwkwkwkwk otak teri otak teti,1,tidak kasar
263,anime campur tanyak orang kalok ketemu ericko lim fotbar berat udah kenal udah penjuru udah kenal berat istilah udah kenal jg artis orang coli gin,1,tidak kasar
264,anjingkok my lord qorygore,1,tidak kasar
265,anjingnk buncit tampan nenen gede kim hidung pesek jepit toket,1,tidak kasar
266,anjaay gmna gitu kontol,1,kasar
267,anja auto tertawa ru l,1,tidak kasar
268,anjay,1,tidak kasar
269,anjay intro ericko lim tobat intro yg wkkwkw tw dosa rupaya el,-1,kasar
270,anjay intro legend,1,tidak kasar
271,anjay intro,1,tidak kasar
272,anjaykamulim,1,tidak kasar
273,anjay,1,tidak kasar
274,anjay kses bang salam shoapers bal fans eriko like,1,tidak kasar
275,anjay komentar kaya benci ahhh,1,tidak kasar
276,anjay seksi banget pentil anjayyyyyyyy,1,tidak kasar
277,anjing bau gore haha,1,kasar
