stemmed,sentiment,labeling,filtered,cekTF-IDF
benci bacot nonton,-1,kasar,bacot,ada
mantap kontol,-1,kasar,kontol,ada
setan,-1,kasar,setan,ada
tai,-1,kasar,tai,ada
titit,-1,kasar,titit,ada
peduli haters lagu,1,tidak kasar,,tidak ada
sok tampan mukalu sampah an jnk,-1,kasar,sampah,ada
semangat bang konten baca hate komentar edit mudah unggah mudah,1,tidak kasar,,tidak ada
true,1,tidak kasar,,tidak ada
a asa edit si eric niru pewdiepie iya brrti si eric kreatif,1,tidak kasar,,tidak ada
a en je a ye,1,tidak kasar,,tidak ada
aa sayang,1,tidak kasar,,tidak ada
aaaaaa part yoyo mamennn,1,tidak kasar,,tidak ada
aaaaaaaaaaa part yoyo mamennn,1,tidak kasar,,tidak ada
aaaaaaasiaap,1,tidak kasar,,tidak ada
abai benci benci kampang bang,-1,kasar,kampang,ada
abang erick biar benci maen game biar neng setan setan benci,-1,kasar,setan setan,ada
abang erick pacar kim bang from fans,1,tidak kasar,,tidak ada
abdur rakhman anjay,1,tidak kasar,,tidak ada
selesai komentar toxic biar si erick baca komenya ginian komentar masuk,1,tidak kasar,,tidak ada
selesai tari lelah lu,1,tidak kasar,,tidak ada
selesai youtube,1,tidak kasar,,tidak ada
absen erick lu,1,tidak kasar,,tidak ada
ad r,1,tidak kasar,,tidak ada
bang qorygore,1,tidak kasar,,tidak ada
fans base bro,1,tidak kasar,,tidak ada
foto gabung dyland warpathk gemar nonton videokamutanpa skip iklan,1,tidak kasar,,tidak ada
hate comment yg baca ama rick ig tanyain via comment ama via dm,1,tidak kasar,,tidak ada
benci kit kat,1,tidak kasar,,tidak ada
benci auto sepi dunia bang,1,tidak kasar,,tidak ada
benci situ hadir kaya benci subscribe,1,tidak kasar,,tidak ada
iklan skip,1,tidak kasar,,tidak ada
jembut,-1,kasar,jembut,ada
jumpscare,1,tidak kasar,,tidak ada
notif langsung ntn,1,tidak kasar,,tidak ada
yg tau backsound ericko judul,1,tidak kasar,,tidak ada
disubscribe erick,1,tidak kasar,,tidak ada
adsense adsense adsense bodoh video kualitas adsenseeeeeeee,1,kasar,bodoh,ada
adug tertawa asli dah emnk butuh hiburrannya doank haters mah biar kenal channel,1,tidak kasar,,tidak ada
aduh tepok jidat,1,tidak kasar,,tidak ada
ahahahahha ahahahahha ahahahahahahahhahaahhahahahahahahahahahahhaahhahahahahhahahaahhahaahahhaahhaahhaahahahahhahahahahahahahahhawhahahahhah ahahahahahahhaahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahaha ahahahahahahahhahahahahhahahahahahahahahahahahahahhahahahahahahahahhahahahhhahahhahahahaahahahahhahahhahahahahahahahahahahaahahahahahahhaahhahahahahahahahahahahahahhahahahahahahahahahahhahahhahahahahhahahhahahhhahahahahahahahahhahahahahahahhhahahahahahahahahahahahahahahahahahahahahahahahahahahahhahahahahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahhahahahahahhahahahaahahahhaahhaahhahahhahaahhhahahahahahahahhahhahahahahahahahahahahahahahahahahhahahahahhahahahhhahahahahahahahahahahahhahahhahahahhahahahahahahahahahahahahaahha,1,tidak kasar,,tidak ada
ahhahahaah,1,tidak kasar,,tidak ada
ahkirnya intro erickonolimitpros usa lihat,1,tidak kasar,,tidak ada
ahkirnya intro,1,tidak kasar,,tidak ada
aink zeeber mhank pantad ainx lapisin baja ea anti triggred,1,tidak kasar,,tidak ada
bang nyimpen intro intro,1,tidak kasar,,tidak ada
ajak berantemmangat coli,1,tidak kasar,,tidak ada
ajak ketemu arap lim injek injek pala selesai jadiin konten haha kaya,1,tidak kasar,,tidak ada
ajakin ai tompel erick bacot warbyasah,-1,kasar,bacot,ada
ajarankamujuga erick,1,tidak kasar,,tidak ada
ajarin bait and jelasin xd bair orang orang makan bait,1,tidak kasar,,tidak ada
ajarin toxic rick,1,tidak kasar,,tidak ada
ajg fans yg tunda ajg najis,-1,kasar,najis,ada
ajg koment aswww,1,tidak kasar,,tidak ada
ajg tertawa receh guaaaaa astaga,1,tidak kasar,,tidak ada
ajg gwe dah liat erick teriak teriak kaya detik anjir aowkwowkw,-1,kasar,anjir,ada
ajg kocak sumpah erik,1,tidak kasar,,tidak ada
ajg ngakakak erikolim,1,tidak kasar,,tidak ada
ajg opening eno benningg,1,tidak kasar,,tidak ada
ajg tertawa,1,tidak kasar,,tidak ada
ajg tu kepala peju diotaq,1,tidak kasar,,tidak ada
ajg,1,tidak kasar,,tidak ada
ajglah bcksoundnya doang yg kenceng suara kedengeran,1,tidak kasar,,tidak ada
ajglah bcksoundnya doang yg kenceng suarakamugk kedengeran,1,tidak kasar,,tidak ada
akew kece iy,1,tidak kasar,,tidak ada
erickolim no limit pros,1,tidak kasar,,tidak ada
intro ericko no limit pros dipake,1,tidak kasar,,tidak ada
intro,1,tidak kasar,,tidak ada
kenal kaya bowo,1,tidak kasar,,tidak ada
farrah ni videocuma dikit,1,tidak kasar,,tidak ada
taun juta mentok juta,1,tidak kasar,,tidak ada
video faedah,1,tidak kasar,,tidak ada
akhirny,1,tidak kasar,,tidak ada
ericko lim q a v,1,tidak kasar,,tidak ada
dislike channel ya sih,-1,tidak kasar,,tidak ada
intro ericko no limit pros lagiam hati,1,tidak kasar,,tidak ada
intro yg tunggu,-1,kasar,tunggu,ada
intro,1,tidak kasar,,tidak ada
intro legend,1,tidak kasar,,tidak ada
intro legend,1,tidak kasar,,tidak ada
intro legend,1,tidak kasar,,tidak ada
intro legendnya erickolim vu ngak lengkap manusia,1,tidak kasar,,tidak ada
intro legends lagigkamugerebek rumah pamela,1,tidak kasar,,tidak ada
intro legendz,1,tidak kasar,,tidak ada
intro tunggu tunggu,-1,kasar,tunggu tunggu,ada
intro,1,tidak kasar,,tidak ada
intro haha,1,tidak kasar,,tidak ada
intro muncul,1,tidak kasar,,tidak ada
intro,1,tidak kasar,,tidak ada
komentar masuk youtube erickolim hahahaha,1,tidak kasar,,tidak ada
akhirnyakamutoxic sekian tungggu yesssssss,1,tidak kasar,,tidak ada
opening xd,1,tidak kasar,,tidak ada
opening jess is back,1,tidak kasar,,tidak ada
opening legend hadir,1,tidak kasar,,tidak ada
opening lupa come back,1,tidak kasar,,tidak ada
opening yg tunggu,-1,kasar,tunggu,ada
pake intro,1,tidak kasar,,tidak ada
pake intro,1,tidak kasar,,tidak ada
pake intro legend ea,1,tidak kasar,,tidak ada
pke intro,1,tidak kasar,,tidak ada
rindu ku balas,1,tidak kasar,,tidak ada
akmj,1,tidak kasar,,tidak ada
akoskwkaowkwlwoa benci sumber duit,1,tidak kasar,,tidak ada
subscribe kali gift sultan niih,1,tidak kasar,,tidak ada
always support bang,1,tidak kasar,,tidak ada
bangga bang,1,tidak kasar,,tidak ada
bocah bang,1,tidak kasar,,tidak ada
benci,1,tidak kasar,,tidak ada
ketawa njir nice erickolim,1,tidak kasar,,tidak ada
mo ngomong,1,tidak kasar,,tidak ada
cuman kasih tau kak erick,1,tidak kasar,,tidak ada
malaysia bang rick saport bang benci kagak paham cenel loo bang,1,tidak kasar,,tidak ada
dislike ah,1,tidak kasar,,tidak ada
doain moga dapet juta subscribe minggu turun amin,1,tidak kasar,,tidak ada
dukung bang,1,tidak kasar,,tidak ada
dukung bang erick,1,tidak kasar,,tidak ada
dukung channel erick,1,tidak kasar,,tidak ada
dukung erick,1,tidak kasar,,tidak ada
dukung erick bocah ngebuly erick ngaca,1,tidak kasar,,tidak ada
dukung erik,1,tidak kasar,,tidak ada
dukung bang erik semangat bang toxic bocah bocah niru toxic bang,1,tidak kasar,,tidak ada
dukung bang sat,1,tidak kasar,,tidak ada
dukung bg,1,tidak kasar,,tidak ada
dukung bang sans ajh ngadepin benci stres,1,tidak kasar,,tidak ada
dukung rick yg unik ekspres mantab d,1,tidak kasar,,tidak ada
dukung rick,1,tidak kasar,,tidak ada
dukung rick benci dukung,1,tidak kasar,,tidak ada
dukung bang,1,tidak kasar,,tidak ada
dukung,1,tidak kasar,,tidak ada
fans berat eriko lim arap mah kw,1,tidak kasar,,tidak ada
fans dead pool,1,tidak kasar,,tidak ada
fans eriko lim ka cba videoyg biar liat vdeo kakak,1,tidak kasar,,tidak ada
haters eric,1,tidak kasar,,tidak ada
haters yg komentar video baca video,1,tidak kasar,,tidak ada
