Comments,TF-IDF
bacot,1.0
kontol,1.0
setan,1.0
tai,1.0
titit,1.0
sampah,1.0
kampang,1.0
jembut,1.0
bodoh,1.0
najis,1.0
anjir,1.0
tunggu,1.0
aneh,1.0
tolol,1.0
anjing,1.0
alay,1.0
miskin,1.0
goblok,1.0
bego,1.0
bangsat,1.0
bencong,1.0
dosa,1.0
gendut,1.0
jembud,1.0
pantat,1.0
autis,1.0
hina,1.0
gila,0.86
tumben,0.83
ngentot,0.85
ngewe,1.0
idiot,0.69
boker,0.84
lonte,1.0
munafik,1.0
porno,1.0
tolong,1.0
noob,1.0
memek,0.81
pantek,0.92
bangkai,1.0
celeng,1.0
bokep,1.0
cupu,0.58
dungu,0.65
celaka,0.78
sinting,1.0
buta,1.0
homo,1.0
gay,1.0
cerdas,1.0
berak,1.0
ampas,0.7
cundang,0.72
nista,0.89
sial,1.0
kimak,1.0
monyet,1.0
sarap,1.0
kucel,1.0
piatu,0.7
yatim,0.72
koplak,1.0
cebong,1.0
mampus,1.0
kurus,1.0
jancuk,0.93
kampret,0.8
banci,1.0
gembel,0.94
katrok,0.89
onta,0.94
singkat,0.85
brengsek,0.94
kafir,0.98
burik,0.94
antek,0.97
jablay,0.57
ngaceng,0.84
tuyul,0.81
gengsi,1.0
budek,1.0
cacat,1.0
gendeng,1.0
perek,0.87
silit,0.86
geblek,1.0
tengil,1.0
