,text,sentiment
0,ngilu anjeng,netral
1,anjing ericko lim bisa ngomong baik adddduuu gw engga percayaeh like komen ini jika kalian tau lagu,netral
2,bang jangan kalah sama haters haters tu cuma bocah bocah yang gak mampu sukses lu mangat bang semangat v,positif
3,gak peduli hatters kok bikin lagu,netral
4,gw ngerti lu sibuk ngurusin ytr tapi lu coba bikin video buat ngehibur para soapers rik thx,netral
5,jangan sok ganteng lah mukalu kek sampah an jnk,netral
6,kok gw selalu hibur ya tiap nonton di channel ini kuan lo anjin udah lebih autis kalo misal gw punya kakak kaya lo mending bunuh diri gw rik sumpah tapi gua tetep dukung lo ko rik terus kembang rik konten sampah lo yaa semangat ericontollll,netral
7,semangat terus bang buat kontenneo baca hate coment easy edit easy upload,netral
8,suka banget ama orang ini,positif
9,true,netral
10,a cuma asa gue aja klo edit si eric niru pewdiepie klo iya brrti si eric kurang kreatif,netral
11,a en je a ye,netral
12,aa sayang,netral
13,aaaaaa part nya yoyo mamennn,netral
14,aaaaaaaaaaa part nya yoyo mamennn,netral
15,aaaaaaaaaaaa ganteng,netral
16,aaaaaaaaaaaaaaaaaa ganteng banget kawaine,netral
17,aaaaaaasiaap,netral
18,abai haters bang,netral
19,abai haters bang,netral
20,abai haters haters kampang macam begini bang,netral
21,abai haters bang just keep doing what you think is good and entertain us moga cepet jt subscriber ya bang,positif
22,abai haters sukses terus buat channel nya semangat,positif
23,abang erick biar gak banyak heters maen game lagi aja biar neng setan setan itu heters,netral
24,abang erick pacarn sama kim jawab bang from fans,netral
25,abang gua tu bijak buat hatres jangan comen cuk njing,netral
26,abang is the bast,netral
27,abang panutan quh,netral
28,abay boljug nih orang sange channelnya tentang blackpink,netral
29,abcdefghijklmnopqrstuvwxyz meter otong nya,netral
30,abdur rakhman anjay,netral
31,abg gua tuh bukan kaleng kaleng hehe,netral
32,abis ini bakal banyak komen toxic biar si erick baca komenya terus bikin ginian lagi dan komentar mereka masuk,netral
33,abis konten anjing,negatif
34,abis nari gak cape lu,netral
35,abis ytr kata,netral
36,absen rik gak lu,netral
37,absurd lu bro,netral
38,achmad nuryadin buat bocah pb mah,netral
39,ad r,netral
40,ad bgus nya chanel kamu bngsat plagiat reza arap reza arap ad bagus sosial bgus kamu apa bngsat chanel friendly dimna nya anjing dimna ad mnghbur nya bngsaat,netral
41,ada aja yg nguruai hidup org urusin hidup kamu masing aja bener apa kagak,netral
42,ada apa ini ramai eriko lim kau tamvan sekali mirip babi stengah anjing,negatif
43,ada bang qorygore,netral
44,ada fans base ga bro,netral
45,ada fitur tidak tarik knp org org kgk digunain coba duh kontol klo mau cari have fun mah cenel ini recommended,negatif
46,ada foto gabung dyland sama warpathk sama soapers mereka nonton semua video lu tanpa di skip sekalipun ada iklan nya,netral
47,ada gold play button,netral
48,ada hate comment aku yg pernah kamu baca ama kamu jawab rick ig sudah sering aku tanyain via comment ama via dm,netral
49,ada haters ada kit kat,netral
50,ada haters auto sepi dunia bang,netral
51,ada haters situ hadir kaya haters kok subscribe,netral
52,ada iklan aku pernah aku skip,netral
53,ada iklan tak akan saya skip anti skip skip iklan club sukses terus ericko lim,positif
54,ada jembut,netral
55,ada jumpscare,netral
56,ada manusia dosa yg nge hate belum lebih baik,positif
57,ada notif langsung ntn,netral
58,ada panutan gua,netral
59,ada presiden dewa,netral
60,ada presiden qori,netral
61,ada qore wokwokwokow,netral
62,ada qorygore,netral
63,ada qorygore gak di youtube rewind,netral
64,ada son of zeus,netral
65,ada tulis subscribe bang ada tulis disubcribe,netral
