,text,sentiment
1,  ngilu anjeng,negatif
2, anjing ericko lim bisa ngomong baik adddduuu gw engga percayaeh like komen ini jika kalian tau lagunya,negatif
3, bang jangan kalah sama haters haters tu cuma bocah bocah yang gak mampu sesukses lu mangat bang semangat v,positif
4, gak peduli hatters kok bikin lagu,netral
5, gw ngerti lu sibuk ngurusin ytr tapi lu coba bikin video buat ngehibur para soapers rik thx,positif
6, jangan sok ganteng lah mukalu kek sampah an jnk ,netral
7, kok gw selalu kehibur ya setiap nonton di channel ini kuan lo anjin udah melebihi autis kalo misal gw punya kakak kaya lo mending bunuh diri gw rik sumpah tapi gua tetep dukung lo ko rik terus kembangkan rik konten sampah lo yaa semangat ericontollll,negatif
8, semangat terus bang buat kontenneo baca hate coment easy edit easy upload,netral
9, suka banget ama orang inii,positif
10,TRUE,netral
11,a cuma perasaan gue aja klo editan si eric niru pewdiepie klo iya brrti si eric kurang kreatif,netral
12,a en je a ye,netral
13,aa sayang,netral
14,aaaaaa part nya yoyo mamennn,netral
15,aaaaaaaaaaa part nya yoyo mamennn,netral
16,aaaaaaaaaaaa ganteng,positif
17,aaaaaaaaaaaaaaaaaa ganteng banget kawaine,positif
18,aaaaaaasiaap,netral
19,abai haters bang,positif
21,abai haters haters kampang macam begini bang,netral
22,abaikan haters bang just keep doing what you think is good and entertain us semoga cepet jt subscriber ya bang,positif
23,abaikan haters sukses terus buat channel nya  semangat,positif
24,abang erick biar gak banyak heters maen game lagi aja biar seneng setan setan itu heters,netral
25,abang erick pacarn sama kim jawab bang from fans,netral
26,abang gua tu bijak buat hatres jangan comen cuk njing,negatif
27,abang is the bast,positif
28,abang panutan quh,positif
29,abay boljug nih orang sange channelnya tentang blackpink,positif
30,abcdefghijklmnopqrstuvwxyz meter otong nya,negatif
31,abdur rakhman anjay,netral
32,abg gua tuh bukan kaleng kaleng hehe,positif
33,abis ini bakal banyak komen toxic biar si erick baca komenya terus bikin ginian lagi dan komentar mereka masuk,netral
34,abis konten anjing,negatif
35,abis nari gak cape lu,netral
36,abis ytr katanya,netral
37,absen rik gak lu,netral
38,absurd lu bro,negattif
39,achmad nuryadin buat bocah pb mah,negatif
40,ad  r,netral
41,ad bgus nya chanel kamu bngsat plagiat reza arap reza arap ad bagus sosial bgus kamu apa bngsat chanel friendly dimna nya anjing dimna ad mnghbur nya bngsaat,negatif
42,ada aja yg nguruai hidup org urusin hidup kamu masing aja bener apa kagak,negatif
43,ada apa ini ramai eriko lim kau tamvan sekali mirip babi stengah anjing,negatif
44,ada bang qorygore,netral
45,ada fans base ga bro,netral
46,ada fitur tidak tertarik knp org org kgk digunain coba duh kontolnya klo mau cari have fun mah cenel ini recommended,negatif
47,ada foto gabungan dyland sama warpathk sama soapers mereka nonton semua video lu tanpa di skip sekalipun ada iklan nya ,netral
48,ada gold play button,positif
49,ada hate comment aku yg pernah kamu baca ama kamu jawab rick ig sudah sering aku tanyain via comment ama via dm,netral
50,ada haters ada kit kat,netral
51,ada haters auto sepi dunia bang,netral
52,ada haters situ hadir kaya haters kok subscribe,netral
53,ada iklan aku pernah aku skip,netral
54,ada iklan tak akan saya skip anti skip skip iklan club sukses terus ericko lim,positif
55,ada jembut,netral
56,ada jumpscare,netral
57,ada manusia dosa yg nge hate belum lebih baik,positif
58,ada notif langsung ntn,netral
59,ada panutan gua,positif
60,ada presiden dewa,positif
61,ada presiden qori,positif
62,ada qore wokwokwokow,positif
63,ada qorygore,positif
64,ada qorygore gak di youtube rewind,positif
65,ada son of zeus,positif
66,ada tulis subscribe bang ada tulis disubcribe,positif
67,ada woy haters yang memberikan uang kepada pemilik channel nya dengan dibikinin konten kan lumayan itu namanya haters yang baik broo u,positif
68,ada yang bikin ericko lim ngomong onichan menit nih wkwk v,positif
69,ada yang bisa download vidio di youjizz bz ga kalo ada komen,positif
70,ada yang ngiri viewer yotobe nya turun,positif
71,ada yang nunggu yt rewind ga v,positif
72,ada yg nyuruh kamu nonton ajg kalau emang didik gausah nonton dasar haters gblk erick obat buat ngilangin stres tertawa liat muka konyol si erick,negatif
73,ada yg tau backsound ericko judulnya apa,netral
74,ada yg tau kabarnya lord randog,positif
75,adaa iklannn menit gua skip demi kamu,positif
76,adanya disubscribe rik,netral
77,adik gwe baru lahir kemarin langsung gwe tontonin vidio lu bang,positif
78,aditya chandra serah dah yg penting aku udah nyampein sen aku,positif
79,aditya hercules gak usah nge gas,positif
80,adolf hitler ma lord v,positif
81,adolf hitler my fuhrer,positif
82,adsense adsense adsense bodoamat video gak kualitas yang penting adsenseeeeeeee,netral
83,adsense for life,positif
84,adsense naikk,positif
85,adsense ny bnyak nih haha,positif
86,adsense yang sangat mantap,positif
87,adug tertawa asli dah emnk padahal sini cuma butuh hiburrannya doank hatters mah biasa biar kenal aja lewat channel,netral
88,aduh lu membuat micin tlol ga mikir banyakan bocah yg nonton tolol gini dah lu batesin usia di chennel lu biar bocah ga pd terpengaruh,negatif
89,aduh tepok jidat gua,netral
90,aduh udah tertawa dluan anjg sama intro nya jess awpokwaeopkawepokawepokwapok,positif
91,aduhh gvlx gvlxxx,negatif
92,aduuh gua telat ngesubscribe nihh mas subscribe tidak ni,positif
93,aduuuhhh ngakak parah gw,positif
94,ady putra ribut lo asu,negattif
95,afriz studios kontrol bukan kontol,negatif
96,age restricted lah goblok,negattif
97,ah aku ngehate ah biar masuk youtube,negattif
98,ah bangsat lo anjing hahaha ngakak ada iklan qory gore lagih hahahahaha gue suka gaya lo,negatif
99,ah banyak iklan kontol,negatif
100,ah dasar kontol kontol kontol kontol sama kamu semua ngentot ngentot ngentot sama kamu semua,negatif
101,ah dasar makan jembut uya kuya atta halilintar dua,negattif
102,ah gila memek ngilu wkwkwk,negatif
103,ah goblok lu bangsat cuman tau toxic aja bodoh coba bertobat kah,negatif
104,ah kontol dasar anak lonte,negatif
105,ah kontol gabakal masuk surga kamu ajg bgst,negatif
106,ah lu ganteng bgt rick,positif
