likeCount,Comments,Author
0.0,rick lu anak hasil kondom bocor ya,Whiskey FJ
0.0,kakak itu sokpede,Nafida 0712
0.0,gg bang slow gw sub kontol eenak,rafi ahmad
0.0,apa di tangan mu tatu,Rosli Ishak
0.0,muka lo ekk anjing gue rugi nonton youtube lo anjing,Dean Dea
0.0,gw suka gaya lu anjing haha hibur bedd wkwkwkw kontol ahaha,aqil sandie
0.0,mantapp bang erickkkkkaha hibur bedd wkwkwkw kontol ahaha,Rakhaaa S6
1.0,buat haters lo semua gosah sok sokan ngerti video erickolim kalo gk suka ngapain ditonton semudah itu anjinkkkkkk eriko juga gk maksa nonton video dia kalo suka ya alhamdulilah klo gk suka ya yaudah gak apa apa eriko juga gak maksa njinkkkkk,Aditzzeux Fx
0.0,subcribe cuma segitu doang kalah am atta,van Yuda
0.0,eriko kayak memek asu anjing cuiiihhh babi kontol lu kecil,van Yuda
0.0,bang collab ma bang leokoce v,Dewi Lesta
0.0,tapi gw ngakak nonton ericko lim walaupun toxic mantap dah rik,Fidel Junior
0.0,hahaahaha haters kontol tuh bng ricko lim ,
,,dahny tawel
0.0,haters konten,
,,
,,Bang RA Gaming
0.0,sok iya banget lu anjeng lu bikin vidio gak ada faedahnya yg gak pantes ditonto bahasa lu babi nyesel kali emak lo lahirin lo dari memek harusnya dari silit lo goblok,Eza Maullana
0.0,babi banget yakan ni vidio gak pntg bgt goblok lu buka sifat asli lu kek apa yakan org yg subscribe lu itu iseng subcribe trus keluar babi goblok banget mnding ngaca aja muka lu kek kontol anjin,Eza Maullana
0.0,gua suka bngt sma konten luu bang,ADONARA BOYZZ
0.0,hahahahah,Yukihira Shiro
0.0,bang bikin vidio balas komentar haters lagi biar haters hater anjing ka kagak terus terusan engbacot pokonya bang iric harus semangat aku tau terkenal itu bukan suatu hal yang mudah dan gampang butuh proses di uji hates pokoknya tetap semangat bang eric jadi youtuber yang lebih sukses dan bisa melawan haters haters anjing,Sbastian ruben Sbastian
0.0,baku hantam dimulai,Demon blazing blazing
0.0,erick lim sma kimi hime gue fans dia karna dia serasi kalau pacarang,Sultang Gamimg Daimon
0.0,jangan hina erick gue fans dia jangan katakatai erick,Sultang Gamimg Daimon
1.0,hmm ahh bau memek,AngZ Gaming
0.0,betul bang lanjutin aja karya luu bangtakatai erick,Dan Cok
0.0,lu bacanya tuh sabar ngomong kotor mulu hater itu gak usah dibaca komennya,si Topi
0.0,i love you v,Adrian Setiawan
0.0,gw heartes bukan haters,Wira Widyatna Mahardika
0.0,auto subs lu i like itmong kotor mulu hater itu gak usah dibaca komennya,Vii Aerina
0.0,bilang sama orang itu mukak orang itu kayak jembut kucing,Domino _venom
0.0,pecahkan kepala otak orang itu bg,Domino _venom
0.0,gua suka sama lho bangng itu bg,Agus Aryadi
0.0,slow rick gw ada di pihak lu eak,Odeliass
0.0,gausa diladenin bang rick para haters tu smakin lu banyak haters lu smakin naik bro,
,,
,,Rahman Cover
2.0,sabar rick,Tatang 65
0.0,anti pantad typyd si erick mah,Fariq Nugraha
0.0,panutan ku,Rama Keitaro T
0.0,semangat k walaupun dibully trus,rafa kusuma
0.0,ngakak ajg wkwk banyak juga haters nya yak v tapi gpp rik tetep buat konten yang lo sukai dan di sukai para subcribe lu salah satunya gua rik ,
,,sowok ers
0.0,semangat trs bangg k juga haters nya yak v tapi gpp rik tetep buat konten yang lo sukai dan di sukai para subcribe lu salah satunya gua rik ,
,,Rosa meilita
0.0,ganteng bangggg k juga haters nya yak v tapi gpp rik tetep buat konten yang lo sukai dan di sukai para subcribe lu salah satunya gua rik ,
,,Rosa meilita
0.0,hhhmmm bau memek,Auriq Ryan
2.0,yang penting dapat berkarya dan ngehibur gak harus tenar karna kegoblokannya haters memang rajanya apa di comment gak intro emang lu bisa ngbuat channel ampe subs segede bang eric,Kaha SY
1.0,dear haters inget boyy tanpa ericko lim lu gak bakal sedewasa ini,dante imaru238
0.0,ngakak kontol wkwkwkanpa ericko lim lu gak bakal sedewasa ini,James Boi
0.0,slb apa,annisa Khairunnisa
0.0,hahaha dnger tuh para heters tolol,
,,
,,
,,
,,
,,
1.0,gua suka gaya lu nanggepin haters rick,Aser Ffff
0.0,ericko lim is the bestin haters rick,Dzaki Rgt
0.0,haters kontol,12345678910 Balap
0.0,yg sabar aja yg bang,Estiti Kebumen
0.0,hahahaha,subandi
0.0,sip bang,Damare Jagad
0.0,ngakak sial  emang gak berfaefah cuma bikin org ngakak siAan channel mendidik,Lulu Soso
1.0,banyak haters banyak duit btw ini ngent d,Rizky Ahmal
0.0,buat lo haters jgn nonton klo gk suka nyaranin org jgn nonton content ini tpi lo juga nonton kan klo ada bocah yg nonton lalu tugas orang tuanya apa njing percuma nyariin biaya tpi kgk ngedidik ,
,,
,,
,,
,,
,,
0.0,wehh eric kontol kapan bikin video reading komen lagi,Ahmad Hadiansyah
0.0,tetap semangat brada,Albi pramana
0.0,ngakak bangsat,Hanan Amani
0.0,eh pokoknya subscriber ericko lim atau orang orang lain yang nonton video ini sangat menyebalkan dan gak usah ditiru karena seperti orang bego yang enngak punya otak ericko lim lu mending gak usah kyk gini lagi,naufal adilla
0.0,ngomong nya jangan kasar bangsat,Rusmaniar Abdul Roni
0.0,sumpah we ngakak njirr,Branz Gaming
0.0,gila emang yg pada koment negatip lu klo gasuka jgn koment bikin dosa aja lu pada ini konten cuma buat hiburan aja lah pikir dlu boy,Oki Squerpants
0.0,erickontol,Dimas Nurcholis
0.0,baru pembuka ud lebay apalagi pertengahannya,Steven Ciawi
0.0,bau mem k,Bass Loudspeaker
0.0,kocak hahahaha banget,Muhammad Faqih
0.0,gw aja subs pertama kali belum di gift sultan macam apa niih,GH057 - YT
0.0,susu kental manis,Supri Arsop
0.0,gua suka ah sm elu bangm di gift sultan macam apa niih,Mpitt mdmd
0.0,awoke,M. SANIF
1.0,yoi gw si yayaya,kiki pb
1.0,haters tai kambingangm di gift sultan macam apa niih,Bilal Gaming Indo
0.0,panjat terus bang tembus juta,
,,Hendryco March
0.0,bang ericolim gua salah satu subscriber lu fans lu bang,rizky anisa
0.0,terbaik erickolimsalam dri balriber lu fans lu bang,Odek Divayana
0.0,good erick,Axel Raihan
0.0,bank erickolim gimana rasa nya coli pertama abank dan kpn,Tlarap ijo
0.0,bank erickolim gimana rasa nya coli pertama abank dan kpn,Tlarap ijo
0.0,bang lu bikin collab sama kimi hime pasti viewrs nya banyak,limv h
0.0,bang gua haterslu,
,,
,,
,,
,,
,,
0.0,ngakak anjeng v,Steven bae
0.0,plis lah ya,Randika r
0.0,bodo amat hater gpp kan klo gw sub ama like setiap vid lu,Ghifari Gaming
0.0,hussssshhhhh bau memekklo gw sub ama like setiap vid lu,MUSIC VIDEO
0.0,dari pada ngehate orang kan nambah dosa mending lo main game aja udah,HITMAGIC INDO
3.0,bang rick lu teriak ngomong kotor gk kedengeran ama yg ruang sebelah,yulianti Clarity
0.0,klo gak suka gak usah nonton tp mereka yg gak suka masih nonton ,
,,
,,
,,
,,
0.0,haha anjing emang nonton tp mereka yg gak suka masih nonton ,Rabbani Alfarisi
,,
,,
,,
,,
0.0,haters uangng nonton tp mereka yg gak suka masih nonton ,Ayudk 87_
,,
,,
,,
,,
0.0,mantap bang gua nonton ini dri masa depan,semua milik kita
0.0,liat dimenit sampai,Lirik Lagu Indonesia
0.0,rik emut kontol gua pliss,Kirito kun Gaming
0.0,demi apa gw kesini karna sg nya obby sebelumnya g prnh wkwkwk,Nina Syna
0.0,haters cuma berani di coment pas ketemu paling selfe,campuran Canzis
0.0,v,NFG Official
0.0,ngakak wkwk jadi org jgn baperan lah wkwk namany jg channel hiburan se lu ngalir nying,
,,
,,
2.0,heters itu g punya otak tolollllll otak nya di kontol tolol heters paling bocah semua memek,ChikoChan 213
0.0,haters adalahhhhh,DGmrcaption77 gaming
,,
0.0,maksudnya apaan,Helle R
0.0,wkwk,DIS GATORS
0.0,komen lu aja kyk bocah,Helle R
0.0,yutuber sama subscriber comentator toxic semua semoga kalian dapat hidayah dan dapet balesan yang setimpal aammiin,OP terdahsyat
0.0,hater emang gtu sok gak suka tapi kepo anjing,Two brother Gaming
1.0,wkwkwkwk,Bencikaca Vidgram
0.0,itu lo tau kalo di konten lo ada yg ngk patut di tayangkan emang benar itu semua tergantung orangnya untuk bisa memfilter mana yg salah mana yg bener tapi apasalahnya gitu membuat konten yang baikbaik aja boong kalo lo ngk ngerasa itu suatu hal yg salah dan sebagai creator yg punya subscribe banyak itu udah tangung jawab lo memberikan konten yg setidaknya ada manfaatnyala bagi subscriber lo emang gue tau duit itu godaan banget tapi pliss jangan mikirin diri sendiri aja bro,aprilia atika
0.0,bacot ngentot,Abang Islah
0.0,erick x kimi hime,Berlian Aja
0.0,ngakak asu v,SaitamaN Music
0.0,gila bnyk haters,Saber clon
0.0,kok memek ngilu,RzGaming Yt
0.0,erickontol panutanquee,Angga Suckerzz
0.0,setuju kakak guanteng,Angel Santoso
0.0,ericko mahh imut and ganteng bangettt,Fujisaki Ichigo
1.0,goblok lu kira tuh org ericko lim gampanng apa dapet subs apa lu aja yg iri v,Sky! Chennel
0.0,seru,Abil Fida
0.0,sabar ric nanggepin haters ma v,Galang rakha
0.0,awokawok,IMMORTAL HEROIC
0.0,ketemu ericko lim minta foto juga wkwk,Arianator
0.0,gua akui kegantengan lu khentot,Rahma Shabilla
0.0,kontol lu rik,ilegal racer
0.0,kimi hime nonton v lu khentot,Mana Itu
0.0,sabar rik,okan christiano
1.0,ngakak anjrit guaa,Surya Pratama
0.0,mohon bersabar ini ujian ntot,Dhizs Gaming
0.0,ngajieun konten ewean kagok taiiiwk,Dede Yusuf
0.0,tai kudaa sia,Dede Yusuf
0.0,kimi hime sangee,Dede Yusuf
0.0,mantull,Adrian Syahmariz
0.0,anjingggggg,Love Nawal
0.0,ngejulur aja mulut lo anjinggg kayak anjing aja kontol lebih mirip anjing ngjulur lidah taikkkkk,Love Nawal
0.0,anjinggggg bau analog anjingggg,Marcell Hero
