stemmed,sentiment,labeling,filtered
benci bacot nonton,-1,kasar,bacot
mantap kontol,-1,kasar,kontol
setan,-1,kasar,setan
tai,-1,kasar,tai
titit,-1,kasar,titit
peduli haters lagu,1,tidak kasar,
sok tampan mukalu sampah an jnk,-1,kasar,sampah
semangat bang konten baca hate komentar edit mudah unggah mudah,1,tidak kasar,
true,1,tidak kasar,
a asa edit si eric niru pewdiepie iya brrti si eric kreatif,1,tidak kasar,
a en je a ye,1,tidak kasar,
aa sayang,1,tidak kasar,
aaaaaa part yoyo mamennn,1,tidak kasar,
aaaaaaaaaaa part yoyo mamennn,1,tidak kasar,
aaaaaaasiaap,1,tidak kasar,
abai benci benci kampang bang,-1,kasar,kampang
abang erick biar benci maen game biar neng setan setan benci,-1,kasar,setan setan
abang erick pacar kim bang from fans,1,tidak kasar,
abdur rakhman anjay,1,tidak kasar,
selesai komentar toxic biar si erick baca komenya ginian komentar masuk,1,tidak kasar,
selesai tari lelah lu,1,tidak kasar,
selesai youtube,1,tidak kasar,
absen erick lu,1,tidak kasar,
ad r,1,tidak kasar,
bang qorygore,1,tidak kasar,
fans base bro,1,tidak kasar,
foto gabung dyland warpathk gemar nonton videokamutanpa skip iklan,1,tidak kasar,
hate comment yg baca ama rick ig tanyain via comment ama via dm,1,tidak kasar,
benci kit kat,1,tidak kasar,
benci auto sepi dunia bang,1,tidak kasar,
benci situ hadir kaya benci subscribe,1,tidak kasar,
iklan skip,1,tidak kasar,
jembut,-1,kasar,jembut
jumpscare,1,tidak kasar,
notif langsung ntn,1,tidak kasar,
yg tau backsound ericko judul,1,tidak kasar,
disubscribe erick,1,tidak kasar,
adsense adsense adsense bodoh video kualitas adsenseeeeeeee,1,kasar,bodoh
adug tertawa asli dah emnk butuh hiburrannya doank haters mah biar kenal channel,1,tidak kasar,
aduh tepok jidat,1,tidak kasar,
