,text,sentiment,labeling
0,apasiii sampah,negatif,kasar
1,apip pekan baru,positif,tidak kasar
2,arap,positif,tidak kasar
3,arap aja tato,positif,tidak kasar
4,arap fans botjah,positif,tidak kasar
5,arap goblok,negatif,kasar
6,ari jr,positif,tidak kasar
7,arifin gt hahha iyaa bnr tuh,positif,tidak kasar
8,arti luh gx butuh subscribe donk,positif,tidak kasar
9,arti mungkin posisi kamu sama dia jd pas kamu liat org yg senasip ama kamu kamu rasa kalau pernah ngerasain itu itu yg buat kamu ketawa sadar,positif,tidak kasar
10,as well as make me happy is oke,positif,tidak kasar
11,asal muasal haters iblis,positif,tidak kasar
12,asbi poci hai nak,positif,tidak kasar
13,asddaadxjsjansb,positif,tidak kasar
14,asekkkk kembali lagi opening legend asu wkwkw,positif,tidak kasar
15,ashaduallahila hail waashaduana muhammadrasullah,positif,tidak kasar
16,ashiaap,positif,tidak kasar
17,ashu iklan keluar,positif,tidak kasar
18,ashyhadu allaa ilaaha illallah wa ashyhadu anna muhammadar rasuulullah v,positif,tidak kasar
19,asik konten baru kkkk,positif,tidak kasar
20,asik mantaf,positif,tidak kasar
21,asik sering upload cari pundi duid,positif,tidak kasar
22,asikk gaya low kon aku ska gya low,positif,tidak kasar
23,asin asin keremes coy,positif,tidak kasar
24,asin kremes,positif,tidak kasar
25,asin kremes dong wkwkwkwk ngangkang,positif,tidak kasar
26,asin kyak rasa memekab beri heaters kata mutiara coy,positif,tidak kasar
27,asli bijak bgt akhir nya wkwk,positif,tidak kasar
28,asli haters tadi otak nya tertawa,positif,tidak kasar
29,asli ngakak,positif,tidak kasar
30,asli semenjak gw subscribe chanel lo mulut gw udh kayak bonbin bully negara,positif,tidak kasar
31,asli tertawa terus pas baca komen haternyapalagi yg beli subscribe jt anjrit hahahaha,positif,tidak kasar
32,asssu,positif,tidak kasar
33,astafirloh halazim,positif,tidak kasar
34,astagfirullah,positif,tidak kasar
35,astaqfirullah tobat bro tobat kita ini sama manusia kita di cipta untuk buat baik bukan malah nge bully orang luu itu sadar bro di dunia ini tak ada yang sempurna jadi please stop nge hina erickolim pliss,negatif,kasar
36,asu first cok,positif,tidak kasar
37,asu haters lo makin panas neh klo liat ini,positif,tidak kasar
38,asu i need pussy wkwkwk bang,positif,tidak kasar
39,asu iklan nya kondom,positif,tidak kasar
40,asu ngerusakin nama belakang aku,positif,tidak kasar
41,asupan wkwkwk,positif,tidak kasar
42,asw iklan tik tod,positif,tidak kasar
43,asw kaget gua opening nya,positif,tidak kasar
44,asw tertawa ajg,positif,tidak kasar
45,asw v,positif,tidak kasar
46,at konten love haters lah biar seru wkwk,positif,tidak kasar
47,at least ericko ga kayak laurentius rand,positif,tidak kasar
48,atau yg ngebacotin di sini rapstrounot,positif,tidak kasar
49,ateam mana subscribe yah,positif,tidak kasar
50,ati rik kaum yara pada ngumpul klo lu nunjukin pentil lu balik maen pb sama lol lagi ric,positif,tidak kasar
51,au ah gajelas tot,positif,tidak kasar
52,au jangan utus teroris isis men takedown chanel agama paling family friendly dunia is this konspirasi iluminati,positif,tidak kasar
53,auto counter njing wkwkwk,positif,tidak kasar
54,auto dislike,positif,tidak kasar
55,auto kaya,positif,tidak kasar
56,auto kaya,positif,tidak kasar
57,auto kecilin volume,positif,tidak kasar
58,auto kecilin volume gw rick nonton video lu ya tapi bener juga sih tapi tapi,negatif,kasar
59,auto ngakak anjinkk channel didik h liat di yutub,positif,tidak kasar
60,auto tertawa g,positif,tidak kasar
61,auto tertawa hahah,positif,tidak kasar
62,auto toxic anjrr v,positif,tidak kasar
63,auto unlike,positif,tidak kasar
64,awal aku sempet muak liat muka kamu nongol rick telah aku sering nonton video kamu dadak aku jd respect up terus channel agama terfamily friendly,positif,tidak kasar
65,awal nya aku subscribe terus aku unsub terus waktu aku pusing masalah aku real aku coba buka video lucu yt ketemu ama ni channel anjinx aku nonton aku malah ketawa orang gila mayan ngilangin stress tingkah gila ni anjinx thanks dah pokok auto subscribe n like aku,negatif,kasar
66,awang kece artis dari mana bocin,positif,tidak kasar
67,awang kece b aja gw ngeliatnya,positif,tidak kasar
68,awas adegan,positif,tidak kasar
69,awas kamu macam macam sama kime ku tak segan segan,positif,tidak kasar
70,awas nanti lu malah giveaway akun lagi wkwk,positif,tidak kasar
71,awas ntar jadi musryik,positif,tidak kasar
72,awekwekwek sekali sindir mampos ea,positif,tidak kasar
73,awkawkakwkawk,positif,tidak kasar
74,awkawkawkawkaw,positif,tidak kasar
75,awkwkwkw tertawa kamu ganteng bang sexy hahaha,positif,tidak kasar
76,awkwwkwkowkw,positif,tidak kasar
77,awoakwoakwoak nangid,positif,tidak kasar
78,awokawok,positif,tidak kasar
79,awokawokawok,positif,tidak kasar
80,awoke,positif,tidak kasar
81,awokokokokokoko wtf greged,positif,tidak kasar
82,awokwokwokwk gunawan sate,positif,tidak kasar
83,awto kena take down yt,positif,tidak kasar
84,ayam goreng sedap,positif,tidak kasar
85,ayo bang gua dukung buat challenge ter gila kontoru memekosik wik wik,negatif,kasar
86,ayo gaes kita satu channel ericko limmm musnakan hatter hater peler konntoll laknant ini,positif,tidak kasar
87,ayo hateess komen terosss,positif,tidak kasar
88,ayo lah haters drpd sibuk komen jelas mending cr duit beli bmw orng yg u hina kalau cocok sama u tidak ush liat banyak yg lain erico cm hibur lucu an aja lah baperan,negatif,kasar
89,ayo main coc,positif,tidak kasar
90,ayo mampir ke channel gua subscribe ntar kalo mau di subsback comment di video gua aja,positif,tidak kasar
91,ayo rame rame unsubcribe chanel,positif,tidak kasar
92,ayo rame report konten seksual,positif,tidak kasar
93,ayo semangat erik aku bantu kamu bisa aku rik,positif,tidak kasar
94,ayo unsuscribe,positif,tidak kasar
95,ayok kita gera ubsubs erikolim dalam bulan ini,positif,tidak kasar
96,azam kazama yg salah,positif,tidak kasar
97,azek intro,positif,tidak kasar
98,aziz zidhan v,positif,tidak kasar
99,b a u m m k,positif,tidak kasar
100,b aja,positif,tidak kasar
101,baaaaaaaccccoooottttt,positif,tidak kasar
102,baca jeng,positif,tidak kasar
103,baca kntl,positif,tidak kasar
104,baca komen aku plz wkwj aku ngebacot,positif,tidak kasar
105,baca komen denger triak hantu edit kamu awto lempar hp,positif,tidak kasar
106,baca komen gw ini dong sekali promotin ig gw maaqinthara muah,positif,tidak kasar
107,baca komen haters pacar kamu dong,positif,tidak kasar
108,baca komen haters part dong kontlo yg tuju likean untuk tiru,positif,tidak kasar
109,baca komen nya orang goblok nyata seru v,negatif,kasar
110,baca komen please,positif,tidak kasar
111,baca komen w,positif,tidak kasar
112,baca koment gua,positif,tidak kasar
113,baca kontl nice content,positif,tidak kasar
114,baca nih tod kapan lo tobat toxic,positif,tidak kasar
115,baca terus coli kapan bgst,positif,tidak kasar
116,bacaaaa,positif,tidak kasar
117,bacain hate comment di video no smile zone lah tod,positif,tidak kasar
118,bacain komen gue dong bang erick,positif,tidak kasar
119,back sound lu gede bang suara nya jadi gk trlalu kedengeran suara lu,positif,tidak kasar
120,backsoundnya iklan hago kok enak ad yg tau lagu apa,positif,tidak kasar
121,bacod skip iklan,positif,tidak kasar
122,bacod lho,positif,tidak kasar
123,bacodddd luuu,positif,tidak kasar
124,bacooooooot ngentooooott,positif,tidak kasar
125,bacooot anjg,positif,tidak kasar
126,bacooottttttt aaaaaannnnnnnjjjjjjiiiiiinnnngggg,positif,tidak kasar
127,bacoot kontoool,positif,tidak kasar
128,bacoottt wkwkwk,positif,tidak kasar
129,bacota habis nonton buang tempat nya,positif,tidak kasar
130,bacottt luh erick kont asti bocah pke poto fake lah bnyk yg cyduk pas datengin eh bocah laknat,positif,tidak kasar
131,bacottt taikkkk nda ush nonton taik si simple,positif,tidak kasar
132,bacotttttttttttttt,positif,tidak kasar
133,bag kamu ganteng goblok,negatif,kasar
134,bagaimana cara like dislike,positif,tidak kasar
135,bagas darmawan dulu ada event kata dulu kan youtuber cuma dikit di indo,positif,tidak kasar
136,bagas subs gua plis,positif,tidak kasar
137,bagi akir video aku tuju aku subscribe channel kamu kamu main franco saing skill hook sama wolf xotik,positif,tidak kasar
138,bagi saudara iman trash talking toxicnya erick jangan di ikutin,positif,tidak kasar
139,bahahahahaha ngakak gue,positif,tidak kasar
140,bahasa nya kaya qorygore,positif,tidak kasar
141,bahaya anak bawah umur nonton ericko lim auto jadi toxic ada faedah mana berani yg nonton video erickontoru pake speaker dekat ortu udah sita v,positif,tidak kasar
142,bahkan banyak youtuber yg bocah ikud komen di sini rasa sok asik dengan video ini jilat mau di bilang sok oh yee iya,positif,tidak kasar
143,baik video kamu bang hilangin kata kata kurang ajar para benci lihat elu d tiap video selalu sisip kata kata yg tdak layak d dengar orang banyak,positif,tidak kasar
144,bait si laurentius randog dong,positif,tidak kasar
145,baju eric baju dwp tahun lalu njir,positif,tidak kasar
146,bakal reply aama baca bro bagaimana butuh duit instant gitu toxic,positif,tidak kasar
147,bakteri e coli,positif,tidak kasar
148,baku hantam mulai,positif,tidak kasar
149,bales dong mas jangan diem aja depok belah mana,positif,tidak kasar
150,balesannya pro ea,positif,tidak kasar
151,balik lagi intro anjink v,positif,tidak kasar
152,balik lagi intro kntl,positif,tidak kasar
153,ban skin ciclop ban ama alucar yang viscont,positif,tidak kasar
154,bando anjay,positif,tidak kasar
155,bang,positif,tidak kasar
156,bang,positif,tidak kasar
157,bang adu panco kalah putusin cewenya,positif,tidak kasar
158,bang aku hate kamu biar kamu tambah kaya mau gaa,positif,tidak kasar
159,bang aku hatters kasi lope dong,positif,tidak kasar
160,bang aku lebih neng sama konten sampah tpi hibur kek lu dri pda konten didik tpi gk hibur,negatif,kasar
161,bang aku punya saran buat kamu kalau youtube kamu aja video banyak kata kata kasar yang jijik anak bawah th niruin laku kamu youtube,positif,tidak kasar
162,bang aku punya temen mirip banget kamu asli ntar aku kirim dah lewat dm kwkwters ksih tau aku,positif,tidak kasar
163,bang aku saranin bang isiin tulis pas opening kamu mulai,positif,tidak kasar
164,bang aku skip iklan kamu bang kok aku yg habis kuota kamu yg kaya yaa memang anj ng kamu,positif,tidak kasar
165,bang aku support abang ada iklan aku nonton sampe abis,positif,tidak kasar
166,bang aku tau kamu bahasa sopan ngapa di pake,positif,tidak kasar
167,bang atta palu ko kamu nggasemua anjink ngcorygore,positif,tidak kasar
168,bang ayooo dong bikin konten main pb lg toxic lg dong di pb,positif,tidak kasar
169,bang baca elu buat channel lucu kadang hibur kali garing aku slalu tonton bang iklan kagak aku skip sukses terus lah kapan kapan ngadain seperti give away gitu lah yaw,positif,tidak kasar
170,bang baca komen,positif,tidak kasar
171,bang bagaimana ketemu reza arap waktu youtube rewend,positif,tidak kasar
172,bang bahasa jqga,positif,tidak kasar
173,bang balikin filthy rickz,positif,tidak kasar
174,bang bang bang bang bang bang bang bang bang bang bang bang ned nod v,positif,tidak kasar
175,bang bang cuekin aja udh lu mending jadi soap king lagi dahh,positif,tidak kasar
176,bang berani gak bilang putus ke pacar orang ntro lu legendaris anj ng,positif,tidak kasar
177,bang bikin challenge ng c k liat foto jesnolimit,positif,tidak kasar
178,bang bikin draw my life dong,positif,tidak kasar
179,bang bikin filthyrickz lagi dong,positif,tidak kasar
180,bang bikin frank aja kamu kayak seru dah,positif,tidak kasar
181,bang bikin kompilasi ketawa jahat tertawa asli,positif,tidak kasar
182,bang bikin konten game lg dong saran doang si,positif,tidak kasar
