,text,sentiment
0,haters bacot tapi masih nonton,negatif
1,mantap kontol,negatif
2,setan,negatif
3,tai,negatif
4,titit,negatif
5, gak peduli hatters kok bikin lagu,positif
6, jangan sok ganteng lah mukalu kek sampah an jnk ,negatif
7, semangat terus bang buat kontenneo baca hate coment easy edit easy upload,positif
8,TRUE,positif
9,a cuma perasaan gue aja klo editan si eric niru pewdiepie klo iya brrti si eric kurang kreatif,positif
10,a en je a ye,positif
11,aa sayang,positif
12,aaaaaa part nya yoyo mamennn,positif
13,aaaaaaaaaaa part nya yoyo mamennn,positif
14,aaaaaaasiaap,positif
15,abai haters haters kampang macam begini bang,negatif
16,abang erick biar gak banyak heters maen game lagi aja biar seneng setan setan itu heters,negatif
17,abang erick pacarn sama kim jawab bang from fans,positif
18,abdur rakhman anjay,positif
19,abis ini bakal banyak komen toxic biar si erick baca komenya terus bikin ginian lagi dan komentar mereka masuk,positif
20,abis nari gak cape lu,positif
21,abis ytr katanya,positif
22,absen rik gak lu,positif
23,ad  r,positif
24,ada bang qorygore,positif
25,ada fans base ga bro,positif
26,ada foto gabungan dyland sama warpathk sama soapers mereka nonton semua video lu tanpa di skip sekalipun ada iklan nya ,positif
27,ada hate comment aku yg pernah kamu baca ama kamu jawab rick ig sudah sering aku tanyain via comment ama via dm,positif
28,ada haters ada kit kat,positif
29,ada haters auto sepi dunia bang,positif
30,ada haters situ hadir kaya haters kok subscribe,positif
31,ada iklan aku pernah aku skip,positif
32,ada jembut,negatif
33,ada jumpscare,positif
34,ada notif langsung ntn,positif
35,ada yg tau backsound ericko judulnya apa,positif
36,adanya disubscribe rik,positif
37,adsense adsense adsense bodoamat video gak kualitas yang penting adsenseeeeeeee,positif
38,adug tertawa asli dah emnk padahal sini cuma butuh hiburrannya doank hatters mah biasa biar kenal aja lewat channel,positif
39,aduh tepok jidat gua,positif
40,ahahahahha ahahahahha ahahahahahahahhahaahhahahahahahahahahahahhaahhahahahahhahahaahhahaahahhaahhaahhaahahahahhahahahahahahahahhawhahahahhah ahahahahahahhaahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahaha ahahahahahahahhahahahahhahahahahahahahahahahahahahhahahahahahahahahhahahahhhahahhahahahaahahahahhahahhahahahahahahahahahahaahahahahahahhaahhahahahahahahahahahahahahhahahahahahahahahahahhahahhahahahahhahahhahahhhahahahahahahahahhahahahahahahhhahahahahahahahahahahahahahahahahahahahahahahahahahahahhahahahahhahahahahahahahahhahahahahahahahahahahahahahahahahahahahhahahahahahhahahahaahahahhaahhaahhahahhahaahhhahahahahahahahhahhahahahahahahahahahahahahahahahahhahahahahhahahahhhahahahahahahahahahahahhahahhahahahhahahahahahahahahahahahahaahha,positif
41,ahhahahaah,positif
42,ahkirnya intro erickonolimitpros usa di lihat,positif
43,ahkirnya intro nya,positif
44,aink zeeber mhank pantad ainx di lapisin baja ea anti triggred,positif
45,aja kamu bang nyimpen intro intro lama,positif
46,ajak berantemmangat coli,positif
47,ajak ketemu arap dong lim injek injek pala nya abis jadiin konten haha makin kaya kamu,positif
48,ajakin ai tompel rik kan bacot nya warbyasah,negatif
49,ajaran lu juga kok rik,positif
50,ajarin cara bait and jelasin aja xd bair orang orang tidak makan bait,positif
51,ajarin toxic rick,positif
52,ajg fans yg tunda apa ajg najis,negatif
53,ajg gua koment apa aswww,positif
54,ajg gua tertawa awal receh guaaaaa astaga,positif
55,ajg gwe dah lama liat erick teriak teriak kaya detik anjir aowkwowkw,negatif
56,ajg kocak sumpah erik v,positif
57,ajg ngakakak erikolim,positif
58,ajg opening eno benningg,positif
59,ajg tertawa,positif
60,ajg tu kepala besar banyak peju diotaq,positif
61,ajg v,positif
62,ajglah bcksoundnya doang yg kenceng suara kamu kedengeran,positif
63,ajglah bcksoundnya doang yg kenceng suara lu gk kedengeran,positif
64,akew kece iy,positif
65,akhir erickolim no limit pros,positif
66,akhir intro ericko no limit pros dipake,positif
67,akhir keluar itu intro,positif
68,akhir kenal kaya bowo,positif
69,akhir nya farrah nya ni vidio cuma dikit,positif
70,akhir taun jt kok malah mentok di jt v,positif
71,akhir vidio nya faedah,positif
72,akhirny,positif
73,akhirnya ericko lim buat q a juga v,positif
74,akhirnya gua bisa dislike ke di channel ini ya tapi bener juga sih tapi tapi,negatif
75,akhirnya intro ericko no limit pros ada lagiam hati,positif
76,akhirnya intro ini yg gue tunggu,negatif
77,akhirnya intro itu balik juga,positif
78,akhirnya intro legend di kembalikan,positif
79,akhirnya intro legend keluar,positif
80,akhirnya intro legend v,positif
81,akhirnya intro legendnya erickolim balik lagi vu ngak lengkap jadi manusia v,positif
82,akhirnya intro legends nya ada lagig lu gerebek rumah pamela ,positif
83,akhirnya intro legendz,positif
84,akhirnya intro yang di tunggu tunggu,negatif
85,akhirnya intronya ada lagi,positif
86,akhirnya intronya balik lagi haha,positif
87,akhirnya intronya muncul juga,positif
88,akhirnya intronya v,positif
89,akhirnya komen gw masuk youtube erickolim aja hahahaha,positif
90,akhirnya lo toxic lagi sekian lama gua tungggu yesssssss,positif
91,akhirnya opening ini xd,positif
92,akhirnya opening jess is back,positif
93,akhirnya opening legend hadir lagi,positif
94,akhirnya opening yang terlupakan come back,positif
95,akhirnya opening yg sangat gw tunggu,negatif
96,akhirnya pake intro ini lagi v,positif
97,akhirnya pake intro lama lagi,positif
98,akhirnya pake intro legend lagi ea,positif
99,akhirnya pke intro itu lagi,positif
100,akhirnya rindu ku terbalaskan,positif
101,akmj,positif
102,akoskwkaowkwlwoa haters sumber duit,positif
103,aku aja subscribe pertama kali di gift sultan macam apa niih,positif
104,aku always support kamu bang,positif
105,aku bangga sama kamu bang,positif
106,aku bocah bang,positif
