,text,sentiment
0,apas babi gajelas ngntod,negatif
7,arap kok tambah gendut,negatif
30,asli haters loe pada bego asli mana,negatif
37,astaga gw jebak di channel autis,negatif
38,astaga kuning banyak amat kaya jembut,negatif
58,auhhhhhh bau memek,negatif
59,autis is back yyey,negatif
60,autis lu yaa,negatif
90,awokwo tai kucing manis d,negatif
111,babi aer haters,negatif
112,babi kaget gua awal buka video ini,negatif
140,bacot,negatif
141,bacot anjg buang waktu aja bikin konten begini mana gaada iklan sama sekali,negatif
142,bacot anying,negatif
143,bacot bocah,negatif
144,bacot buncit,negatif
145,bacot doang kamu kapan kamu botak anjink,negatif
146,bacot haters,negatif
147,bacot idiot,negatif
148,bacot kamu,negatif
149,bacot kamu,negatif
150,bacot kamu ajg ngediss idola gua si arap,negatif
151,bacot kamu haters masalah lama mau ungkit pepeq gazzz teross erick riau dukung erick,negatif
152,bacot kentot,negatif
153,bacot kntol,negatif
154,bacot lu rik,negatif
155,bacot luuu,negatif
156,bacot memek bebek,negatif
157,bacot ngentod,negatif
158,bacot ngentod tumben baca coment hater yg faedah kwkwkwk,negatif
162,bacot ngetot,negatif
163,bacot njing,negatif
164,bacot nya alay,negatif
165,bacot om,negatif
174,bagen aja bang jangan peduli haters haters itu bego,negatif
177,bagus bagus tolol nya maju,negatif
188,balas dong lagu nya erick jgn bacot doang,negatif
191,balik diss si domsdee babi dekil,negatif
196,bandwagon aja kamu kimak,negatif
200,bang aduh anjing aku nonton suka iklan mulu iklan bgst,negatif
201,bang agama kamu apa kok aku liat video kamu lambang illuminati illuminati lambang sembah setan kah,positif
215,bang baca woiii erickolim woiiii baca woiiiiii lo itu ganteng woiiiiiiiiiiiiiii mpsss bau memek,negatif
229,bang bikin konten ngewe ama pacar baru dong biar gregett,negatif
253,bang buat konten ngentot donk,negatif
262,bang buat vidio unboxing kntl kalau giveaway memek hehehe,negatif
266,bang celleng homo jalan bang,negatif
299,bang erick aku komen herman haters benci elu malah sering nonton kontenlu yg sangat didik arti haters suka sama kamu mereka gengsi rasa akhirat,negatif
305,bang erick kontol bau memek gw suka gaya lo wkwkwkw,negatif
306,bang erick kontol makas gaya nya aku suka niru kamu aku jadi lebih segani orang sekolah masuk meme babi,negatif
308,bang erick ngentot t yok gua subscriber baru,negatif
315,bang erickolim bikin lg donk gw nonton nya lucu anjir bangsat kalo ga suka ngapaon di tonton ngentot bang ericko tuju ngehibur kalian semua tod ngapain lo subscribe tapi gasuka ama konten bangsat kena trigger dah gua,negatif
