,text,sentiment
1,apasiii sampah,netral
2,apip pekan baru,netral
3,arap,netral
4,arap aja tato,netral
5,arap fans botjah,netral
6,arap goblok,netral
8,ari jr,netral
9,arifin gt hahha iyaa bnr tuh,netral
10,arti luh gx butuh subscribe donk,netral
11,arti mungkin posisi kamu sama dia jd pas kamu liat org yg senasip ama kamu kamu rasa kalau pernah ngerasain itu itu yg buat kamu ketawa sadar,netral
12,as well as make me happy is oke,netral
13,asal muasal haters iblis,netral
14,asbi poci hai nak,netral
15,asddaadxjsjansb,netral
16,asekkkk kembali lagi opening legend asu wkwkw,netral
17,ashaduallahila hail waashaduana muhammadrasullah,netral
18,ashiaap,netral
19,ashu iklan keluar,netral
20,ashyhadu allaa ilaaha illallah wa ashyhadu anna muhammadar rasuulullah v,netral
21,asik konten baru kkkk,netral
22,asik mantaf,netral
23,asik sering upload cari pundi duid,netral
24,asikk gaya low kon aku ska gya low,netral
25,asin asin keremes coy,netral
26,asin kremes,netral
27,asin kremes dong wkwkwkwk ngangkang,netral
28,asin kyak rasa memekab beri heaters kata mutiara coy,netral
29,asli bijak bgt akhir nya wkwk,netral
31,asli haters tadi otak nya tertawa,netral
32,asli ngakak,netral
33,asli semenjak gw subscribe chanel lo mulut gw udh kayak bonbin bully negara,netral
34,asli tertawa terus pas baca komen haternyapalagi yg beli subscribe jt anjrit hahahaha,netral
35,asssu,netral
36,astafirloh halazim,netral
39,astagfirullah,netral
40,astaqfirullah tobat bro tobat kita ini sama manusia kita di cipta untuk buat baik bukan malah nge bully orang luu itu sadar bro di dunia ini tak ada yang sempurna jadi please stop nge hina erickolim pliss,netral
41,asu first cok,netral
42,asu haters lo makin panas neh klo liat ini,netral
43,asu i need pussy wkwkwk bang,netral
44,asu iklan nya kondom,netral
45,asu ngerusakin nama belakang aku,netral
46,asupan wkwkwk,netral
47,asw iklan tik tod,netral
48,asw kaget gua opening nya,netral
49,asw tertawa ajg,netral
50,asw v,netral
51,at konten love haters lah biar seru wkwk,netral
52,at least ericko ga kayak laurentius rand,netral
53,atau yg ngebacotin di sini rapstrounot,netral
54,ateam mana subscribe yah,netral
55,ati rik kaum yara pada ngumpul klo lu nunjukin pentil lu balik maen pb sama lol lagi ric,netral
56,au ah gajelas tot,netral
57,au jangan utus teroris isis men takedown chanel agama paling family friendly dunia is this konspirasi iluminati,netral
61,auto counter njing wkwkwk,netral
62,auto dislike,netral
63,auto kaya,netral
64,auto kaya,netral
65,auto kecilin volume,netral
66,auto kecilin volume gw rick nonton video lu ya tapi bener juga sih tapi tapi,netral
67,auto ngakak anjinkk channel didik h liat di yutub,netral
68,auto tertawa g,netral
69,auto tertawa hahah,netral
70,auto toxic anjrr v,netral
71,auto unlike,netral
72,awal aku sempet muak liat muka kamu nongol rick telah aku sering nonton video kamu dadak aku jd respect up terus channel agama terfamily friendly,netral
73,awal nya aku subscribe terus aku unsub terus waktu aku pusing masalah aku real aku coba buka video lucu yt ketemu ama ni channel anjinx aku nonton aku malah ketawa orang gila mayan ngilangin stress tingkah gila ni anjinx thanks dah pokok auto subscribe n like aku,netral
74,awang kece artis dari mana bocin,netral
75,awang kece b aja gw ngeliatnya,netral
76,awas adegan,netral
77,awas kamu macam macam sama kime ku tak segan segan,netral
78,awas nanti lu malah giveaway akun lagi wkwk,netral
79,awas ntar jadi musryik,netral
80,awekwekwek sekali sindir mampos ea,netral
81,awkawkakwkawk,netral
82,awkawkawkawkaw,netral
83,awkwkwkw tertawa kamu ganteng bang sexy hahaha,positif
84,awkwwkwkowkw,netral
85,awoakwoakwoak nangid,netral
86,awokawok,netral
87,awokawokawok,netral
88,awoke,netral
89,awokokokokokoko wtf greged,netral
91,awokwokwokwk gunawan sate,netral
92,awto kena take down yt,netral
93,ayam goreng sedap,netral
94,ayo bang gua dukung buat challenge ter gila kontoru memekosik wik wik,netral
95,ayo gaes kita satu channel ericko limmm musnakan hatter hater peler konntoll laknant ini,netral
96,ayo hateess komen terosss,netral
97,ayo lah haters drpd sibuk komen jelas mending cr duit beli bmw orng yg u hina kalau cocok sama u tidak ush liat banyak yg lain erico cm hibur lucu an aja lah baperan,netral
98,ayo main coc,netral
99,ayo mampir ke channel gua subscribe ntar kalo mau di subsback comment di video gua aja,netral
100,ayo rame rame unsubcribe chanel,netral
101,ayo rame report konten seksual,netral
102,ayo semangat erik aku bantu kamu bisa aku rik,netral
103,ayo unsuscribe,netral
104,ayok kita gera ubsubs erikolim dalam bulan ini,netral
105,azam kazama yg salah,netral
106,azek intro,netral
107,aziz zidhan v,netral
108,b a u m m k,netral
109,b aja,netral
110,baaaaaaaccccoooottttt,netral
113,baca jeng,netral
114,baca kntl,netral
115,baca komen aku plz wkwj aku ngebacot,netral
116,baca komen denger triak hantu edit kamu awto lempar hp,netral
117,baca komen gw ini dong sekali promotin ig gw maaqinthara muah,netral
118,baca komen haters pacar kamu dong,netral
119,baca komen haters part dong kontlo yg tuju likean untuk tiru,netral
120,baca komen nya orang goblok nyata seru v,netral
121,baca komen please,netral
122,baca komen w,netral
123,baca koment gua,netral
124,baca kontl nice content,netral
125,baca nih tod kapan lo tobat toxic,netral
126,baca terus coli kapan bgst,netral
127,bacaaaa,netral
128,bacain hate comment di video no smile zone lah tod,netral
129,bacain komen gue dong bang erick,netral
130,back sound lu gede bang suara nya jadi gk trlalu kedengeran suara lu,netral
131,backsoundnya iklan hago kok enak ad yg tau lagu apa,netral
132,bacod skip iklan,netral
133,bacod lho,netral
134,bacodddd luuu,netral
135,bacooooooot ngentooooott,netral
136,bacooot anjg,netral
137,bacooottttttt aaaaaannnnnnnjjjjjjiiiiiinnnngggg,netral
138,bacoot kontoool,netral
139,bacoottt wkwkwk,netral
166,bacota habis nonton buang tempat nya,netral
167,bacottt luh erick kont asti bocah pke poto fake lah bnyk yg cyduk pas datengin eh bocah laknat,netral
168,bacottt taikkkk nda ush nonton taik si simple,netral
169,bacotttttttttttttt,netral
170,bag kamu ganteng goblok,netral
171,bagaimana cara like dislike,netral
172,bagas darmawan dulu ada event kata dulu kan youtuber cuma dikit di indo,netral
173,bagas subs gua plis,netral
175,bagi akir video aku tuju aku subscribe channel kamu kamu main franco saing skill hook sama wolf xotik,netral
176,bagi saudara iman trash talking toxicnya erick jangan di ikutin,netral
178,bahahahahaha ngakak gue,netral
179,bahasa nya kaya qorygore,netral
180,bahaya anak bawah umur nonton ericko lim auto jadi toxic ada faedah mana berani yg nonton video erickontoru pake speaker dekat ortu udah sita v,netral
181,bahkan banyak youtuber yg bocah ikud komen di sini rasa sok asik dengan video ini jilat mau di bilang sok oh yee iya,netral
182,baik video kamu bang hilangin kata kata kurang ajar para benci lihat elu d tiap video selalu sisip kata kata yg tdak layak d dengar orang banyak,netral
183,bait si laurentius randog dong,netral
184,baju eric baju dwp tahun lalu njir,netral
185,bakal reply aama baca bro bagaimana butuh duit instant gitu toxic,netral
186,bakteri e coli,netral
187,baku hantam mulai,netral
189,bales dong mas jangan diem aja depok belah mana,netral
190,balesannya pro ea,netral
192,balik lagi intro anjink v,netral
193,balik lagi intro kntl,netral
194,ban skin ciclop ban ama alucar yang viscont,netral
195,bando anjay,netral
197,bang,netral
198,bang,netral
199,bang adu panco kalah putusin cewenya,netral
202,bang aku hate kamu biar kamu tambah kaya mau gaa,netral
203,bang aku hatters kasi lope dong,netral
204,bang aku lebih neng sama konten sampah tpi hibur kek lu dri pda konten didik tpi gk hibur,netral
205,bang aku punya saran buat kamu kalau youtube kamu aja video banyak kata kata kasar yang jijik anak bawah th niruin laku kamu youtube,netral
206,bang aku punya temen mirip banget kamu asli ntar aku kirim dah lewat dm kwkwters ksih tau aku,netral
207,bang aku saranin bang isiin tulis pas opening kamu mulai,netral
208,bang aku skip iklan kamu bang kok aku yg habis kuota kamu yg kaya yaa memang anj ng kamu,netral
209,bang aku support abang ada iklan aku nonton sampe abis,netral
210,bang aku tau kamu bahasa sopan ngapa di pake,netral
211,bang atta palu ko kamu nggasemua anjink ngcorygore,netral
212,bang ayooo dong bikin konten main pb lg toxic lg dong di pb,netral
213,bang baca elu buat channel lucu kadang hibur kali garing aku slalu tonton bang iklan kagak aku skip sukses terus lah kapan kapan ngadain seperti give away gitu lah yaw,netral
214,bang baca komen,netral
216,bang bagaimana ketemu reza arap waktu youtube rewend,netral
217,bang bahasa jqga,netral
218,bang balikin filthy rickz,netral
219,bang bang bang bang bang bang bang bang bang bang bang bang ned nod v,netral
220,bang bang cuekin aja udh lu mending jadi soap king lagi dahh,netral
221,bang berani gak bilang putus ke pacar orang ntro lu legendaris anj ng,netral
222,bang bikin challenge ng c k liat foto jesnolimit,netral
223,bang bikin draw my life dong,netral
224,bang bikin filthyrickz lagi dong,netral
225,bang bikin frank aja kamu kayak seru dah,netral
226,bang bikin kompilasi ketawa jahat tertawa asli,netral
227,bang bikin konten game lg dong saran doang si,netral
228,bang bikin konten lebih cepat dong tidak sabar mau nonton laku toxic abang goodjob buat fideonya,netral
230,bang bikin konten point blank lgi donk,netral
231,bang bikin lagu,netral
232,bang bikin lagu lagi,netral
233,bang bikin ome tv,netral
234,bang bikin prank apa apa teriak wikk wikk ah ah ah tmoat umum wkwk,netral
235,bang bikin prank bom,netral
236,bang bikin rap paket hat komen tuju like,netral
237,bang bikin review mobil lu dong bang,netral
238,bang bikin tutorial main lee sin,netral
239,bang bikin video challange hari toxic,netral
240,bang bikin video yg ada iklan nya,netral
241,bang bikin vidio tentang masa susah lu dong bang,netral
242,bang bikin vlog konyol dong,netral
243,bang bisa gk gak toxic hari,netral
244,bang bisaa ubah sikapnyaa yah supaya chanel nya makin kembang,netral
245,bang bkin lagu dari komen hatters donk wkwk gpp wlaupun toxic smuaa,netral
246,bang bkinin yg part ii dong bang,netral
247,bang bli subscribe v,netral
248,bang botak dong payah kamu,netral
249,bang botak pless,netral
250,bang buat draw my life dong,netral
251,bang buat haters part y plisa,netral
252,bang buat internet personality,netral
254,bang buat lagu coment haters bang biar adsens,netral
255,bang buat lebel samping video kamu r bo remaja bimbing orang tua biar anak anak nonton biar lucu aja hahahaha,netral
256,bang buat pink guy dong ngakek gua nonton video kamu dulu pas jadi pink guy,netral
257,bang buat prank dong pliss tuju like,netral
258,bang buat video hari sekali plisss,netral
259,bang buat video main lol lagi dong,netral
260,bang buat video prank hey tayo,netral
261,bang buat vidio makan roti pakek sperma bang,netral
263,bang buatin tutorial move on dong,netral
264,bang bunuh arap dong wkwkwkwk tod,netral
265,bang cahwiguna ikut ytr,netral
267,bang channel lu yang dulu maap ya bang channel yang dulu di anggap remeh tapi sekarang selamat ya bang sekarang abang udah bisa jadi yutubers yang bisa buat yutube rewind selamat ya buat bang dylan pros bang michaelsow bang kapten liong walaupun gak ikut sih bang dan selamat juga buat abang,netral
268,bang coba aku kasih tantang bulan tidak cakap kotor toxic,netral
269,bang coba bikin chanell elo toxic,netral
270,bang coba bikin konten islam konten eksperimen dengar al quran,netral
271,bang coba cicipin peju sendiri aku penasaran sama rasa nya,netral
272,bang coba coli,netral
273,bang coba donk reaction kakek legend lagi mesum hahah yg tuju like okk,netral
274,bang coba kamu bikin flog masuk greja,netral
275,bang coba kamu potong rambut psti lebih cool kurang enak pandang gtu tapi bukan gmau nnton bang jing,netral
276,bang coba lo jangan sombong jangan so ganteng pasti itu haters balik jadi fans lo,netral
277,bang cobain main minecraft kocak plus tular toxic ny erick jadi begini,netral
278,bang colab ama nyokap lu,netral
279,bang colab sama anak zeus,netral
280,bang colab sama corygore aku subscribe channel kamu kamu main franco saing skill hook sama wolf xotik,netral
281,bang colab sama qorygore dong,netral
282,bang coli,netral
283,bang collab ma bang leokoce,netral
284,bang collab sama arap bang,netral
285,bang collab sama kim hime lagi la wkwkwkwkwk,netral
286,bang collab sama rap bang ih,netral
287,bang cover lagu thailand v,netral
288,bang cover lagu wik wik wik wik wik ah ah ah ah ah ay saaahh dengan cewek bang tunggu video nya,netral
289,bang dah hamilin berapa cwe kamu bang,netral
290,bang dajjal mage tank,netral
291,bang dateng dong ke pensi oktober tunggu krhadirannya,netral
292,bang di botak bn,netral
293,bang dicariin lucifer,netral
294,bang diw gak usah nonton goblok,netral
295,bang eric bikin konten sama pacar dong nya seru,netral
296,bang eric dengan toxic dapet jt subscribe fans yg tunda,netral
297,bang eric so good buat viewers nya naik biarin aja bang penting duit lancar ten upnormal,netral
298,bang eric w nitip wa yak v,netral
300,bang erick banyak ngomong saru,netral
301,bang erick buat vdio tutor col bgst,netral
302,bang erick collab ama bang qorry dong,netral
